"item","itemLabel","yob","yod","occupationLabel","citizenLabel","birthcountryLabel"
"http://www.wikidata.org/entity/Q826271","Bernard of Cluny",1101,1200,"writer","France","France"
"http://www.wikidata.org/entity/Q826271","Bernard of Cluny",1101,1200,"poet","France","France"
"http://www.wikidata.org/entity/Q826271","Bernard of Cluny",1101,1200,"monk","France","France"
"http://www.wikidata.org/entity/Q386451","Guichard of Pontigny",1106,1181,"writer","France","France"
"http://www.wikidata.org/entity/Q386451","Guichard of Pontigny",1106,1181,"archbishop","France","France"
"http://www.wikidata.org/entity/Q386451","Guichard of Pontigny",1106,1181,"monk","France","France"
"http://www.wikidata.org/entity/Q3124148","Gérard Mainard",1110,1188,"religious servant","France","France"
"http://www.wikidata.org/entity/Q1553784","Guigo II",1114,1193,"writer","France","France"
"http://www.wikidata.org/entity/Q1553784","Guigo II",1114,1193,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q1553784","Guigo II",1114,1193,"prior","France","France"
"http://www.wikidata.org/entity/Q374385","Balian of Ibelin",1143,1193,"feudatory","","France"
"http://www.wikidata.org/entity/Q20925441","Rogerio Deres",1150,1227,"","","France"
"http://www.wikidata.org/entity/Q3463699","Saint Brocard",1150,1231,"Catholic priest","","France"
"http://www.wikidata.org/entity/Q235462","Alys, Countess of the Vexin",1160,1220,"feudatory","France","France"
"http://www.wikidata.org/entity/Q1091368","Joan, Lady of Wales",1191,1237,"aristocrat","","France"
"http://www.wikidata.org/entity/Q2479519","Marie, Countess of Ponthieu",1199,1250,"politician","France","France"
"http://www.wikidata.org/entity/Q166260","Thibaud of Ostia",1200,1188,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q166260","Thibaud of Ostia",1200,1188,"Christian monk","France","France"
"http://www.wikidata.org/entity/Q446752","Eudes Rigaud",1200,1275,"diplomat","France","France"
"http://www.wikidata.org/entity/Q446752","Eudes Rigaud",1200,1275,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q20925443","Nicolás Gallus",1200,1257,"","","France"
"http://www.wikidata.org/entity/Q1679119","James II of Avesnes",1200,1205,"","","France"
"http://www.wikidata.org/entity/Q828639","Bertrand de Thessy",1200,1231,"warrior monk","","France"
"http://www.wikidata.org/entity/Q908551","Narjot de Toucy",1200,1241,"regent","","France"
"http://www.wikidata.org/entity/Q1215654","Guy Paré",1200,1206,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q1215654","Guy Paré",1200,1206,"Christian monk","France","France"
"http://www.wikidata.org/entity/Q1227371","Guy de Montfort, Lord of Sidon",1200,1228,"feudatory","","France"
"http://www.wikidata.org/entity/Q1227371","Guy de Montfort, Lord of Sidon",1200,1228,"Crusader","","France"
"http://www.wikidata.org/entity/Q2461939","Berenguer Fredol",1201,1323,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q3120293","Guillaume de Bray",1201,1282,"mathematician","France","France"
"http://www.wikidata.org/entity/Q3120293","Guillaume de Bray",1201,1282,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q375325","Robert I, Count of Artois",1216,1250,"aristocrat","France","France"
"http://www.wikidata.org/entity/Q2465095","Marie de Coucy",1218,1285,"","","France"
"http://www.wikidata.org/entity/Q822689","Bernard Saisset",1232,1314,"priest","France","France"
"http://www.wikidata.org/entity/Q31192745","Johann I of Salm",1247,NA,"aristocrat","","France"
"http://www.wikidata.org/entity/Q31192745","Johann I of Salm",1247,1338,"aristocrat","","France"
"http://www.wikidata.org/entity/Q521012","Bérenger Fredoli",1250,1323,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q21511938","Renaud de Nanteuil",1250,1283,"priest","France","France"
"http://www.wikidata.org/entity/Q21511938","Renaud de Nanteuil",1250,1283,"prelate","France","France"
"http://www.wikidata.org/entity/Q21511938","Renaud de Nanteuil",1250,1283,"seigneur","France","France"
"http://www.wikidata.org/entity/Q21511938","Renaud de Nanteuil",1250,1283,"aristocrat","France","France"
"http://www.wikidata.org/entity/Q1772051","Regnaud de La Porte",1250,1325,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q2325644","Bertrand des Bordes",1250,1311,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q3104418","Gervais Jeancolet de Clinchamp",1250,1287,"canon","","France"
"http://www.wikidata.org/entity/Q3340170","Nicolas Caignet de Fréauville",1250,1323,"theologian","France","France"
"http://www.wikidata.org/entity/Q3340986","Nicolas de Nonancour",1250,1299,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q3380966","Philippe de Marigny",1250,1316,"archbishop","France","France"
"http://www.wikidata.org/entity/Q3380966","Philippe de Marigny",1250,1316,"prelate","France","France"
"http://www.wikidata.org/entity/Q3421087","Raymond de Saint-Sever",1250,1317,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q3421087","Raymond de Saint-Sever",1250,1317,"prelate","France","France"
"http://www.wikidata.org/entity/Q3421223","Raymond de Got",1250,1310,"","France","France"
"http://www.wikidata.org/entity/Q3263449","Louis of France",1264,1276,"","France","France"
"http://www.wikidata.org/entity/Q1166728","Mahaut, Countess of Artois",1269,1329,"politician","Kingdom of France","France"
"http://www.wikidata.org/entity/Q1166728","Mahaut, Countess of Artois",1269,1329,"feudatory","Kingdom of France","France"
"http://www.wikidata.org/entity/Q1166728","Mahaut, Countess of Artois",1270,1329,"politician","Kingdom of France","France"
