"p","pname","bdate","ddate","seats"
"P11MS244","'gyur med theg mchog bstan pa rnam rgyal/","1786","1839","G4687,G20"
"P11MS245","'gyur med srid zhi phun 'tshogs/","1840","1890","G4687,G20"
"P11MS246","'gyur med pad+ma theg mchog","1890","1963","G20,G4687"
"P11MS253","bla ma o rgyan/","1239","1313","G1KR1884"
"P1204","don gling mkhan sprul a rol blo bzang lung rtogs bstan pa'i rgyal mtshan/","1888","1959","G163"
"P1215","paN grub bzang po bkra shis/","1495","1564","G265"
"P1217","rig pa'i ral gri/","1227","1305","G225"
"P1219","skyo ston smon lam tshul khrims/","1219","1299","G225"
"P122","pra nye 03 ngag dbang thub bstan rgya mtsho/","1836","1889","G3090,G301,G162"
"P1220","bcu gnyis gsar ma/","1310","1370" , 
"P1223","tshes bzhi rnying pa grags pa rgyal mtshan/","1293","1360","G434"
"P1224","phag mo gru pa sde srid 01 byang chub rgyal mtshan/","1302","1364" , 
"P1226","bla ma dam pa bsod nams rgyal mtshan/","1312","1375","G312"
"P1227","bka' 'gyur ba blo bzang tshul khrims/","1642","1715" , 
"P1229","chas pa 02 blo bzang 'phrin las/","1698","1764","G356"
"P123","a khu ching shes rab rgya mtsho/","1803","1875","G299"
"P1237","ma kha ngag dbang don grub/","1732","1801","G162"
"P1238","ma gcig zha ma/","1062","1149" , 
"P124","'jam dbyangs bzhad pa 03 blo bzang thub bstan 'jigs med rgya mtsho/","1792","1855","G301,G3090,G162,G160"
"P1244","rgwa lo tsA ba rnam rgyal rdo rje/","1203","1282" , 
"P1253","rong po grub chen 07 blo bzang 'phrin las lung rtogs rgya mtsho/","1916","1978","G163"
"P1254","lha sman ngag dbang chos grags/","1900","1981","G270"
"P1258","ngag dbang grags pa/","1678","1745","G163,G1844"
"P1259","la mo zhabs drung dkar po 06 nga dbang mchog grub bstan pai rgyal mtshan/","1832","1872","G271"
"P1262","rnye grub chen 03 blo bzang bstan pa'i rgyal mtshan/","1802","1849" , 
"P127","phag mo gru pa rdo rje rgyal po/","1110","1170" , 
"P1270","mgo rta 01 blo bzang mkhas mchog","1678","1749","G162,G109"
"P1271","mgo log sman pa stag bla nor bu/","1889","1958" , 
"P1274","dka' bcu 05 blo bzang bstan 'dzin rgya mtsho/","1810","1849","G4853"
"P1277","dka' bcu 04 'jam dbyangs phyogs las rnam rgyal/","1789","1808","G4853"
"P1281","tsa yus 'phrin las rab brtan/","1667","1744" , 
"P1286","dka' bcu 02 blo bzang tshangs dbyangs phyogs las rnam rgyal/","1659","1718","G4853"
"P1288","dka' bcu 03 'jam dbyangs dkon mchog nyi ma/","1719","1788","G4853"
"P1293","byang chub rin chen/","1798","1876","G160,G155"
"P1298","mchims blo bzang grags pa/","1299","1375","G225"
"P1301","snar thang gdan rabs 16 grags pa don grub/","1377","1467","G225"
"P1302","mkhan chen grub pa shes rab/","1357","1423","G225"
"P1303","mkhan chen grags pa shes rab/","1259","1325","G225"
"P1304","'dul 'dzin grags pa brtson 'grus/","1253","1314","G225"
"P131","spyan snga shes rab 'byung gnas/","1187","1241","G340"
"P1310","mkhan chen rgyal mtshan bzang po/","1350","1425" , 
"P1314","kaHdam pa bde gshegs/","1122","1192","G17"
"P1315","sha mi 'dul 'dzin chen po/","1085","1171" , 
"P1316","sne'u zur pa ye shes 'bar/","1042","1118" , 
"P1317","lho brag grub chen nam mkha' rgyal mtshan/","1326","1401","G4188,G4184,G349,G3470,G4181"
"P132","spyan snga grags pa 'byung gnas/","1175","1255","G340"
"P1320","sbal ti jo sras/","1129","1215" , 
"P1321","ka ma ba shes rab 'od/","1057","1131","G2733"
"P1322","dgon pa ba dbang phyug rgyal mtshan/","1016","1082" , 
"P133","ngo rje ras pa/","1090","1166" , 
"P1338","kam kam pa brtson 'grus bzang po/","1313","1385","G227"
"P1350","kam kam pa sangs rgyas 'od zer/","1346","1369","G227"
"P1355","kam kam pa bsod nams rin chen/","1214","1286","G227"
"P1357","kam kam gdan rabs 04 rin chen 'byung gnas/","1187","1254" , 
"P1366","karma bstan skyong dbang po/","1606","1642" , 
"P1367","sde srid gtsang pa karma phun tshogs rnam rgyal/","1597","1632" , 
"P1373","mkhan chen bkra shis 'od zer/","1836","1910","G36"
"P1374","'brug chen 09 mi 'gyur dbang rgyal/","1823","1883","G46"
"P1380","mtshur phu rgyal tshab 01 dpal 'byor don/","1427","1489","G33"
"P1382","karma pa 10 chos dbyings rdo rje/","1604","1674","G33"
"P1386","zhwa dmar 07 ye shes snying po/","1631","1694","G198"
"P139","dol po pa shes rab rgyal mtshan/","1292","1361","G201"
"P1391","si tu 10 pad+ma kun bzang /","1854","1885","G36"
"P1392","zla sprul 01 nges don bstan pa rab rgyas/","1808","1864" , 
"P14","'brug rje mkhan po 01 pad dkar 'byung gnas/","1604","1672","G54"
"P1400","karma pa 01 dus gsum mkhyen pa/","1110","1193","G35"
"P1404","phywa pa chos kyi seng+ge","1109","1169" , 
"P1405","zhang sha ra ba yon tan grags/","1070","1141" , 
"P1410","karma pa de bzhin gshegs pa/","1384","1415","G33"
"P1413","zhwa dmar 02 mkha' spyod dbang po/","1350","1405" , 
"P1426","zhwa dmar 05 dkon mchog yan lag","1525","1583","G198"
"P1428","jo nang rje btsun tA ra nA tha/","1575","1634","G390,G1AG83,G201"
"P1432","zhwa dmar 06 chos kyi dbang phyug","1584","1630","G198"
"P1441","mtshur phu rgyal tshab 03 grags pa dpal 'byor/","1519","1549","G33"
"P1445","gangs dkar bla ma 09 karma bshad sgrub chos kyi seng+ge","1892","1957","G409"
"P1454","g.yung ston rdo rje dpal ba/","1284","1365" , 
"P1456","karma pa 04 rol pa'i rdo rje/","1340","1383","G33"
"P1468","stong 'khor 05 bsod nams rgya mtsho/","1684","1752","G239"
"P1470","'jam dbyangs bzhad pa 04 skal bzang thub bstan dbang phyug","1856","1916","G162,G3090"
"P1485","nyer gnyis pa chos kyi rgyal po/","1335","1407","G340"
"P1486","spung mkhan chen 'od zer bla ma/","1295","1376" , 
"P1490","bsod nams 'bum pa/","1222","1282","G17"
"P1492","kaH thog pa byams pa 'bum/","1179","1252","G17"
"P1495","'jam dbyangs bzhad pa 05 blo bzang 'jam dbyangs ye shes bstan pa'i rgyal mtshan/","1916","1947","G3090,G162,G109"
"P1498","'jam dbyangs mkhyen rab rgya mtsho/","1849","1944","G1962,G3090"
"P1499","bla kho 'jigs med 'phrin las rgya mtsho/","1866","1948","G162"
"P15","lha nang pa sangs rgyas rin chen/","1164","1224","G64"
"P150","mkhas btsun yon tan rgya mtsho/","1260","1327","G201"
"P1506","gser khang steng pa kun dga' rgyal mtshan/","1223","1292","G30"
"P1507","kun ldan ras pa/","1148","1217","G279"
"P1508","rgyal tsha rin chen mgon/","1118","1195","G279"
"P1509","kun spangs chen po/","1342","1409","G280"
"P151","sa bzang ma ti paN chen blo gros rgyal mtshan/","1294","1376","G307"
"P1511","byang sems rgyal ba ye shes/","1247","1320","G201"
"P1514","ko brag pa/","1182","1261","G282"
"P1518","kha che paN chen shAkya shrI/","1127","1225" , 
