"p","pname","bdate","ddate","seats"
"P1KG15253","bka' zur kun gling 'od zer rgyal mtshan/","1915","2001" , 
"P1KG15263","rin chen rgyal mtshan/","1358","1445" , 
"P1KG15271","ri khrod pa blo bzang mkhyen rab/","1909","1995" , 
"P1KG15378","'phrin las rdo rje/","1939","1994" , 
"P1KG1587","karma bde chen dga' ba'i ye shes phrin las kun khyab/","1920","1956" , 
"P1KG1593","mkhan po sangs rgyas bstan 'dzin/","1904","1990","G211"
"P1KG17455","auguste desgodins/","1826","1913" , 
"P1KG17457","bka' blon khri zur 'ju chen thub bstan rnam rgyal/","1930","2011" , 
"P1KG17545","mkhan po rin chen/","1926","1985" , 
"P1KG17602","dge 'phel mchog sprul 'jam dbyangs kun bzang chos kyi nyi ma/","1900","1948" , 
"P1KG18523","g.yung drung dbang rgyal/","1936","2000" , 
"P1KG18643","wang ru'o h+phe/","1896","1946" , 
"P1KG20672","'brong ngur chos rje khyung ston pod po/","1326","1389","G3395"
"P1KG20866","li tsung ren/","1890","1969" , 
"P1KG20927","tung pi wu'u/","1886","1975" , 
"P1KG21093","pa sangs/","1964","2004" , 
"P1KG21565","rgya blo bzang bkra shis/","1921","1986" , 
"P1KG21882","gzhi chen dbon sprul thub bstan lung rtogs rgya mtsho/","1922","1997" , 
"P1KG21913","paN+DIta 'jo har lAl neha ru/","1889","1964" , 
"P1KG21914","in+dirA gAn+d+hi/","1917","1984" , 
"P1KG21919","byams pa skal ldan dbu dkar tshang /","1922","2012" , 
"P1KG22215","prof. lal mani joshi","1935","1984" , 
"P1KG23822","tshong dpon kha stag 'dzam yag","1896","1961" , 
"P1KG23834","er te ni dkon mchog rgyal mtshan/","1858","1937" , 
"P1KG24027","sprul sku 'phags pa blo gsal/","1938","1985","G304"
"P1KG24044","corlo collodi/","1826","1890" , 
"P1KG24232","rAhul sAMkri t+yAyan/","1893","1963" , 
"P1KG24274","shan kha ba 'gyur med bsod nams stobs rgyal/","1896","1967" , 
"P1KG24319","al b+har kri a yan si TaN/","1879","1955" , 
"P1KG26416","pad+ma dbang rgyal/","1962","2016" , 
"P1KG3369","'jam dbyangs blo gsal bzang po/","1919","1993" , 
"P1KG3378","chab mdo drung yig dkon mchog rdo rje/","1920","1992" , 
"P1KG3379","chab mdo drung yig blo bzang dbang 'dus/","1920","2005" , 
"P1KG3822","byams pa blo gros bzang po/","1906","1992" , 
"P1KG3898","smon lam rgya mtsho/","1923","2000","G162"
"P1KG3899","byams pa 'phrin las/","1923","1990","G162"
"P1KG3996","blo gros rgya mtsho/","1909","1984","G162"
"P1KG4007","chos 'phel rab rgyas/","1888","1962" , 
"P1KG4177","grags pa 'byung gnas/","1895","1946","G1650"
"P1KG4181","ngag dbang phun tshogs don 'grub/","1919","2000" , 
"P1KG4183","ngor mkhan chen 73 ngag dbang mkhyen brtse thub bstan snying po/","1913","1988","G211"
"P1KG4195","mtshan zhabs ngag dbang blo bzang /","1854","1938","G109"
"P1KG4203","grub thob nyag se ba/","1141","1201","G1AG12"
"P1KG4259","ngag dbang blo bzang 'phrin las/","1917","1998" , 
"P1KG4264","ngag dbang skal ldan rgya mtsho/","1921","2003" , 
"P1KG4270","ngag dbang pad+ma rnam rgyal/","1930","2008","G1736"
"P1KG4288","seng+ge brag pa 05 ngag dbang 'gyur med chos kyi rgyal mtshan/","1947","2005" , 
"P1KG4319","ngag dbang dpal ldan grags pa/","1915","1996" , 
"P1KG4602","sde pa dge bshes ngag dbang rgya mtsho/","1659","1729" , 
"P1KG4775","stong 'khor 06 'jam dpal dge 'dun rgya mtsho/","1754","1803","G1542"
"P1KG4922","'jam dbyangs rnam rgyal/","1936","2010" , 
"P1KG5004","pad+ma rgyal mtshan/","1956","2001" , 
"P1KG5134","blo bzang thub bstan 'jigs med byams pa rgya mtsho/","1933","1960","G1542"
"P1KG5384","'brug pa bla ma shes rab rdo rje/","1872","1945" , 
"P1KG5614","tshe dbang rnam rgyal/","1942","2006" , 
"P1KG5811","sangs rgyas rdo rje/","1902","1973" , 
"P1KG5820","mkhar rdo rje 'chang kun dga' shes rab chos 'phel rgya mtsho/","1919","2002","G4910"
"P1KG5847","karma sgrub brgyud nges don snying po/","1909","1952" , 
"P1KG5869","blo bzang nor bu/","1953","2018" , 
"P1KG5998","ngag dbang bshad sgrub dpal/","1927","1987","G1720"
"P1KG5999","ngag dbang brtson 'grus/","1927","2006" , 
"P1KG6065","wu'u khreng en/","1504","1582" , 
"P1KG6253","rgya bza'i dge bshes 'jam dbyangs grags pa/","1486","1572" , 
"P1KG8302","ngag dbang blo gros rnam rgyal/","1936","2004" , 
"P1KG9679","'khor gdong gter chen 01 'gro phan gling pa/","1791","1864","G3842"
"P1KG9680","'khor gdong gter sprul 03 'chi med rig 'dzin/","1922","2002","G3842"
"P1KG9845","grub dbang o rgyan gzhan phan mtha' yas/","1817","1875" , 
"P1LS5648","pad+ma sgrol dkar/","1802","1957" , 
"P1PD102748","stong 'khor 07 blo bzang mdo rgyud ye shes bstan pa'i rgyal mtshan/","1806","1852","G1542"
"P1PD102803","stong 'khor 08 ngag dbang mdo rgyud yon tan rab rgyas/","1853","1895","G1542"
"P1PD103497","ras chung 'jam dpal kun bzang /","1931","2001" , 
"P1PD105579","nag bza' bla ma bsod nams rgya mtsho/","1889","1965" , 
"P1PD107897","mnga' ris lha btsun blo bzang bstan pa'i nyi ma/","1471","1515","G104"
"P1PD108000","sman pa bsod nams dbang grags/","1901","1975" , 
"P1PD108511","mkhar rdo 05 bskal bzang thub bstan snyan grags/","1908","1951","G155"
"P1PD108566","stag lung zhabs drung ngag dbang thub bstan byang chub chos kyi nyi ma/","1918","1994" , 
"P1PD108615","sung chi'i","0998","1062" , 
"P1PD108618","li'u zhang /","0887","0946" , 
"P1PD110066","mA pu'u h+phang /","1903","1975" , 
"P1PD113668","ta'i ming rgyal po g.yung lo/","1360","1424" , 
"P1PD76599","sras mo mkha' dbyings sgrol ma/","1823","1854" , 
"P1PD76603","rdo grub 'jigs med 'phrin las 'od zer 02 shes rab me 'bar/","1829","1842" , 
"P1PD76759","yon shul sman rgan dkon mchog rgya mtsho/","1867","1944","G3090"
"P1PD76761","drung yig rab brtan/","1902","1958","G3190"
"P1PD76762","mkhan chen byams pa ngag dbang tshul khrims/","1897","1952","G1KR236"
"P1PD82464","bla ma tshe dbang /","1902","1989","G36"
"P1PD87839","sman pa blo bzang sgrol ma/","1935","1989" , 
"P1PD94977","gzu ru dkon mchog bstan 'dzin/","1857","1934" , 
"P1PD95756","'brog dge 'jam dbyangs mkhyen rab rgya mtsho/","1901","1959","G4335"
"P1PD96458","kirti 04 thogs med blo bzang 'jam dbyangs/","1656","1708","G1KR217"
"P1TD17","sa 'du rin chen/","1928","2015" , 
"P1TD29","tsha rong bdud 'dul rnam rgyal/","1920","2011" , 
"P1TD47","skal bzang don grub/","1952","1995" , 
"P1TD6","spom mda' nyi ma/","1883","1940" , 
"P200","khyar dge blo gros rgya mtsho/","1664","1740" , 
"P2006","chu dkar thang smon lam rab 'byams pa/","1822","1883","G160"
"P2010","nya dbon kun dga' dpal ba/","1285","1379","G357,G201"
"P2043","stong 'khor 02 yon tan rgya mtsho/","1556","1587","G154,G1542"
"P2048","stong 'khor 01 zla ba rgyal mtshan/","1476","1556","G239"
"P2063","spang lung 01 blo bzang thugs rje/","1770","1835","G237"
"P2064","stong 'khor 07 skal bzang 'jam dbyangs rgya mtsho/","1799","1811","G239"
"P2067","stong 'khor 08 thub bstan 'jigs med skal bzang /","1812","1819","G239"
"P2068","stong 'khor 10 blo bzang bstan pa'i nyi ma/","1883","1890","G239"
"P2069","stong 'khor 11 blo bzang 'jigs med tshul khrims rgya mtsho/","1891","1909","G239"
"P2071","stong 'khor 12 blo bzang thub bstan lung rtogs bshad sgrub rgya mtsho/","1910","1920","G239"
"P2072","stong 'khor 13 blo bzang byang chub bstan 'dzin rgya mtsho/","1921","1983","G239,G160"
"P2077","grub dbang 'jam dpal rgya mtsho/","1356","1428" , 
"P2079","nu mgo rgyal ba rin chen/","1328","1386" , 
"P208","khrims khang lo tsA ba bsod nams rgya mtsho/","1424","1482" , 
"P2085","dpang lo tsA ba blo gros brtan pa/","1276","1342","G4252,G244"
"P2088","ne ring pa bde legs rgyal mtshan/","1225","1281","G329"
"P209","lcang skya 02 ngag dbang blo bzang chos ldan/","1642","1714","G165"
"P2090","rgod tshang pa mgon po rdo rje/","1182","1258" , 
"P2090","rgod tshang pa mgon po rdo rje/","1189","1258" , 
"P2091","nes lung zhabs drung bstan 'dzin mchog ldan tshul khrims rgya mtsho/","1830","1887","G160,G1870"
"P2093","rgyud smad shes rab seng+ge","1383","1445","G394"
"P2096","byang chub ye shes/","1067","1139","G280"
"P21","snang ra dkon mchog seng+ge","1768","1833","G162"
"P210","rta mgrin lha mo/","1923","1979","G19"
"P2108","'phags pa lha 03 mthong ba don ldan/","1567","1604","G180"
"P2111","'phags pa lha 06 'phags pa 'jigs med bstan pa'i rgya mtsho/","1714","1754","G180"
"P2112","'phags pa lha 07 'phags pa 'jigs med bstan pa'i mgon po/","1755","1794","G180"
"P2113","'phags pa lha 08 blo bzang 'jigs med dpal ldan bstan pa'i nyi ma/","1795","1847","G180"
"P2114","'phags pa lha 09 'jigs med bstan pa'i rgyal mtshan/","1849","1900","G180"
"P2115","'phags pa lha 10 mi pham tshul khrims rgyal mtshan/","1901","1939","G180"
"P2118","zhi ba lha 01 dpal ldan mchog grub/","1454","1523","G180"
"P2119","zhi ba lha 02 sangs rgyas 'byung gnas/","1543","1620","G180"
"P2120","zhi ba lha 03 zhi ba bzang po/","1625","1717","G180"
"P2121","zhi ba lha 04 'phags pa dge legs rgyal mtshan/","1720","1799","G180"
"P2122","zhi ba lha 05 blo bzang don grub rgya mtsho/","1800","1863","G180"
"P2123","zhi ba lha 06 rab bstan 'dzin 'phrin las/","1864","1923","G180"
"P2125","lcags rwa 02 ngag gi dbang po/","1645","1711","G180"
"P2130","dka' bzhi pa grags pa gzhon nu/","1257","1315" , 
"P2133","mkhan chen bde ba dpal/","1231","1297" , 
"P2139","rong pa shes rab seng+ge","1251","1315" , 
"P2142","byang sems bsod nams grags pa/","1273","1345" , 
"P2143","rig pa'i seng+ge","1287","1375" , 
"P215","chos kyi nyi ma/","1883","1937","G104"
"P2157","lha khang lung pa 03 dge 'dun rgya mtsho/","1662","1737","G162"
"P2169","bkra shis grags pa/","1200","1282" , 
"P217","blo bzang bshad sgrub rgya mtsho/","1904","1946","G286"
"P2176","srong nge /","0965","1035" , 
"P219","rdor grags sprul sku dge 'dun chos 'phel/","1903","1951" , 
"P2190","rkang tsha dkon mchog don yod/","1787","1859","G162,G301"
"P2192","dkon mchog nyi ma/","1795","1857","G162,G301"
"P2199","kha rag pa grags pa rgyal mtshan/","1186","1271" , 
"P22","klong rdol bla ma ngag dbang blo bzang /","1719","1794","G3429,G2440"
"P220","grub dbang dkon mchog 'phrin las/","1900","1988" , 
"P2204","grub chen pad+ma rang grol/","1786","1838" , 
"P2206","dpal chos mkhan chen 06 blo bzang lung rtogs chos kyi rgya mtsho/","1880","1959","G163"
"P221","rdzong dkar 'jigs med dam chos rgya mtsho/","1898","1946","G163,G1948"
"P2212","dpal ldan grags pa/","1766","1840","G162,G162"
"P222","g.yung drung rgyal mtshan/","1897","1955","G1713"
"P2225","bcu gnyis pa rdo rje rin chen/","1278","1314","G340"
"P2228","'bri gung chung tshang 06 chos kyi blo gros/","1868","1906","G340"
"P2230","lho chen 06 dkon mchog bstan 'dzin chos kyi blo gros/","1801","1859","G341,G340"
"P2233","'bri gung chung tshang 04 bstan 'dzi chos kyi rgyal mtshan/","1793","1826","G340"
"P2234","'bri gung chung tshang 03 chos kyi nyi ma/","1755","1792","G340"
"P2238","yang ri sgar rdor slob 22","1809","1886","G62"
"P2239","yang ri sgar rdor slob 23 dkon mchog tshe brtan/","1830","1893","G62"
"P224","mkhan po ho thog thu dge 'dun lung rtogs rab rgyas/","1895","1952","G161"
"P2240","no no dkon mchog bstan pa/","1781","1862","G62"
"P2248","sangs rgyas gnyan ston/","1175","1255","G342"
"P225","ldan ma stong dpon ngag dbang chos 'grub/","1890","1949","G126"
"P2251","kun spangs chos grags dpal/","1283","1363","G343"
"P2252","'bri gung lo tsA ba ma Ni ka shrI/","1289","1363","G340"
"P2253","zhang ston bsod nams grags/","1280","1358","G344"
"P2255","sman chu kha pa blo gros rgyal mtshan/","1278","1353","G345"
"P2256","rin chen tshul khrims/","1285","1356","G346"
"P2257","zi na ngag dbang bstan pa/","1683","1746","G161,G155,G160"
"P2258","gser tog no mon han 03 ngag dbang bstan pa'i rgyal mtshan/","1684","1761","G109,G160"
"P226","brag g.yab rtogs ldan 'jam dbyangs blo gros/","1888","1941" , 
"P227","rtsed thang mkhyen rab nor bu/","1883","1962","G270"
"P2271","gro ston bdud rtsi grags/","1153","1232","G225"
"P2273","bya 'dul brtson 'grus 'bar/","1091","1166","G1303"
"P2273","bya 'dul brtson 'grus 'bar/","1091","1174","G1303"
"P2273","bya 'dul brtson 'grus 'bar/","1100","1166","G1303"
"P2273","bya 'dul brtson 'grus 'bar/","1100","1174","G1303"
"P228","g.yer gshong mkhan chen no mon han ngag dbang blo bzang bstan 'dzin rgya mtsho/","1882","1954" , 
"P230","pha bong kha pa bde chen snying po/","1878","1941","G395"
"P2304","yongs 'dzin blo bzang bzod pa/","1685","1752","G104"
"P2311","rje drung dge 'dun bkra shis/","1486","1559","G180"
"P232","shel dkar gling pa mi 'gyur lhun grub/","1876","1913" , 
"P233","stag brag khri sprul 03 ngag dbang gsung rab mthu stobs/","1874","1952","G437"
"P2349","rig 'dzin ku mA rA dza/","1266","1343","G350"
"P235","zhe chen rgyal tshab 04 'gyur med pad+ma rnam rgyal/","1871","1926","G20"
"P236","blo bzang rgya mtsho'i sprin/","1870","1930","G162"
"P2360","a lags gzan dkar 2","1881","1943","G353"
"P2364","spang lung 02 blo bzang thabs mkhas/","1837","1865","G237"
"P2366","blo bzang 'jam dpal/","1866","1938","G237"
"P237","lcang lung khri rgan 'jam dbyangs thub bstan rgya mtsho/","1866","1928","G163"
"P2374","seng+ge rgyal mtshan/","1212","1294" , 
"P2382","rnam gling paN chen dkon mchog chos grags/","1646","1718","G2813,G2813"
"P2383","khal kha rje btsun dam pa 03 ye shes bstan pa'i nyi ma/","1758","1773","G355"
"P2387","rje btsun kun dga' grol mchog","1507","1565","G1AG83,G201"
"P2388","lo chen byang chub rtse mo/","1303","1380" , 
"P2389","sangs rgyas rin chen/","1339","1424" , 
"P2390","ju nang ngag dbang snyan grags/","1766","1841","G161"
"P2391","byams pa dpal/","1310","1391","G204"
"P2393","khri 31 dam chos dpal ba/","1546","1620","G337"
"P2394","bla brang khri 36 dkon mchog bsod nams/","1770","1814","G162"
"P2398","'jam dbyangs bshes gnyen/","1769","1828" , 
"P2399","'jam dbyangs bstan pa chos ldan/","1760","1797","G356"
"P2409","ba gru zhabs drung bshad sgrub 'phrin las rab rgyas/","1797","1856" , 
"P2411","skal bzang bstan 'dzin rgya mtsho/","1810","1873","G160"
"P2412","thang ston chung ba blo gros dpal/","1313","1391","G346"
"P2413","phun tshogs dpal/","1304","1377","G358"
"P2414","gha rung pa lha'i rgyal mtshan/","1319","1401","G360,G359"
"P2417","lo chen rat+na bha dra/","1489","1563","G1AG44"
"P2418","o rgyan rdzong pa chos skyong rgyal mtshan/","1455","1520","G880,G247,G201"
"P2424","nyag bla pad+ma bdud 'dul/","1816","1872","G1629"
"P2425","dze smad blo bzang dpal ldan bstan 'dzin yar rgyas/","1927","1996","G3860,G337"
"P2426","rin chen dbang rgyal/","1741","1812" , 
"P243","gser kong ngag dbang tshul khrims don ldan/","1856","1918" , 
"P2438","spom brag pa bsod nams rdo rje/","1170","1249" , 
"P244","tA la'i bla ma 12 'phrin las rgya mtsho/","1856","1875","G222,G108"
"P245","dkyil zur blo bzang sbyin pa/","1821","1891","G106,G4964"
"P2450","gtsang pa sku phreng 01 ngag dbang bstan 'dzin rnam rgyal/","1691","1738","G1720"
"P246","rta tshag 10 ngag dbang dpal ldan chos kyi rgyal mtshan/","1850","1886" , 
"P2460","smyung gnas bla ma bsod nams bzang po/","1341","1433","G4598,G367"
"P2464","'jam dbyangs dkon mchog bzang po/","1398","1475","G412,G357,G201,G1511"
"P2466","rgyal ba nam mkha' chos skyong /","1436","1507","G201"
"P247","sde srid bshad sgra dbang phyug rgyal po/","1795","1864" , 
"P2470","ro skam mkhan rabs 01 nyi ma shes rab/","1139","1208","G368"
"P2475","khams lung pa rin chen seng+ge","1232","1282","G229"
"P248","rdo grub chen 03 'jigs med bstan pa'i nyi ma/","1865","1926" , 
"P2487","zur ru sprul sku 05 karma mdo sngags chos kyi seng+ge","1905","1959" , 
"P249","kirti 08 blo bzang 'phrin las bstan pa rgya mtsho/","1849","1904","G3278"
"P2492","chos rje rnam rgyal grags pa/","1469","1530","G67"
"P25","zung ju ngag dbang nor bu/","1816","1884","G116,G337,G236"
"P2500","rgya dkar 03 dkon mchog bstan pa'i rgyal mtshan/","1794","1854","G4851"
"P2509","ngor mkhan chen 09 lha mchog seng+ge","1468","1535","G211"
"P251","gser tog blo bzang tshul khrims rgya mtsho/","1845","1915","G161,G160"
"P2510","ngor mkhan chen 11 sangs rgyas seng+ge","1504","1569","G211"
"P2511","ngor mkhan chen 15 kun dga' bsod nams lhun grub/","1571","1642","G211,G4446"
"P2513","ngor mkhan chen 18 shes rab 'byung gnas/","1596","1653","G211,G275"
"P2514","ngor mkhan chen 19 nam mkha' rin chen/","1624","1669","G211"
"P2517","ngor mkhan chen 23 nam mkha' dpal bzang /","1611","1672","G211"
"P2518","ngor mkhan chen 24 lhun grub dpal ldan/","1624","1697","G211"
"P2519","ngor mkhan chen 26 sangs rgyas bstan 'dzin/","1667","1693","G211"
"P252","'ju mi pham 'jam dbyangs rnam rgyal rgya mtsho/","1846","1912","G16,G289,G3219"
"P2526","ngor mkhan chen 44 byams pa nam mkha' 'chi med/","1765","1820","G211"
"P2533","ngor mkhan chen 36 byams pa bsod nams lhun grub/","1714","1745","G211"
"P2535","ngor mkhan chen 33 byams pa nam mkha' bsam grub/","1696","1754","G211"
"P2536","ngor mkhan chen 32 tshul khrims lhun grub/","1676","1730","G211"
"P254","dpa' ris rab gsal/","1840","1910","G160"
"P2540","ngag dbang kun dga' bkra shis/","1656","1711","G210"
"P2541","smin gling khri chen 04 'gyur med pad+ma bstan 'dzin/","1737","1761","G14"
"P2542","smin gling khri chen 'gyur med 'phrin las rnam rgyal/","1765","1812","G14"
"P2543","mtshan sgrogs 03 dge 'dun bstan pa'i nyi ma/","1847","1917","G160,G1837"
"P255","tA la'i bla ma 11 mkhas grub rgya mtsho/","1838","1855","G222,G108"
"P2551","rngog blo ldan shes rab/","1059","1109" , 
"P2555","lcang lo can pa tshul khrims chos 'phel/","1561","1623","G337,G373"
"P2561","rdo grub chen 02 'jigs med phun tshogs 'byung gnas/","1824","1863" , 
"P2564","'jigs med rgyal ba'i myu gu 03 thub bstan 'gro 'dul gling pa/","1927","1951","G3933"
"P2565","gling smad zhabs drung dkon mchog chos 'phel/","1573","1644","G337,G337"
"P257","zhang ston bstan pa rgya mtsho/","1825","1897","G165"
"P2573","rgya ra 07 'jigs med chos kyi dbang phyug","1842","1913","G1KR983"
"P2577","sgam po pa bsod nams lhun grub/","1488","1552","G197"
"P258","mkhyen brtse'i dbang po/","1820","1892","G213"
"P2591","grags pa rgya mtsho/","1646","1719","G379"
"P2592","dge rtag sprul sku 05 grags pa mtha' yas/","1903","1950","G380"
"P2596","khri byang 03 blo bzang ye shes bstan 'dzin rgya mtsho/","1901","1981" , 
"P2597","gzims 'og 05 byams pa kun dga' bstan 'dzin/","1884","1963","G233"
"P260","tA la'i bla ma 10 tshul khrims rgya mtsho/","1816","1837","G108,G222"
"P2608","rdo ring pa kun bzang chos kyi nyi ma/","1449","1524" , 
"P261","khal kha rje btsun dam pa 05 blo bzang tshul khrims 'jigs med bstan pa'i rgyal mtshan/","1815","1841" , 
"P2610","rig pa'i dbang phyug dge ba rgyal mtshan/","1387","1462","G233"
"P2612","sga a gnyan dam pa kun dga' grags pa/","1230","1303" , 
"P2615","rdzong pa gzungs kyi dpal ba/","1306","1389" , 
"P2627","bo dong paN chen phyogs las rnam rgyal/","1376","1451","G244"
"P2628","'brug pa yab chen bstan pa'i nyi ma/","1567","1619","G3582"
"P2629","'brug chen mi pham chos rgyal/","1543","1604","G3582"
"P2630","'brug pa shes rab bzang po/","1400","1438","G3582"
"P2631","gsang bdag nam mkha' dpal bzang /","1398","1425","G3582"
"P2632","'brug pa ye shes rin chen/","1364","1413","G3582"
"P2633","'brug chen shes rab seng+ge","1371","1392","G3582"
"P2635","'brug pa kun dga' seng+ge","1314","1347","G3582"
"P2637","lo tsA ba grags pa rgyal mtshan/","1242","1346" , 
"P264","'jam mgon kong sprul blo gros mtha' yas/","1813","1899","G37"
"P2640","sangs rgyas sgom pa seng+ge skyabs/","1179","1250","G225"
"P265","sman ri mkhan chen 22 nyi ma bstan 'dzin/","1813","1875","G4,G3"
"P2652","pad gling thugs sras 01 zla ba rgyal mtshan/","1499","1587","G386"
"P2654","yan pa blo bde/","1536","1597","G9"
"P2659","sgang steng sprul sku 01 rgyal sras pad+ma 'phrin las/","1565","1642","G183"
"P266","rta tshag 09 ngag dbang blo bzang bstan pa'i rgyal mtshan/","1811","1848","G1711"
"P2664","byams pa bsod nams dbang po/","1559","1621","G275,G210"
"P2666","'bri gung chung tshang 01 chos kyi grags pa/","1595","1659","G340"
"P2668","sman lung pa blo gros mchog gi rdo rje/","1595","1671","G495"
"P2676","kun bzang tshe dbang pad+ma bstan 'dzin/","1725","1762","G9"
"P2677","pad gling thugs sras 05 kun bzang 'gyur med mchog grub/","1708","1750" , 
"P268","dngul chu dbyangs can grub pa'i rdo rje/","1809","1887","G223"
"P2687","kun bzang bstan pa'i rgyal mtshan/","1763","1817","G9"
"P269","brag dkar blo bzang dpal ldan bstan snyan grags/","1866","1928","G1KR397"
"P2691","lcags zam 07 bstan 'dzin ye shes lhun grub/","1739","1795","G3320"
"P2697","pad+ma bstan 'dzin/","1819","1842","G9"
"P27","blo bzang lung rtogs bstan 'dzin 'phrin las/","1850","1902","G126"
"P270","rdza dpal sprul o rgyan 'jigs med chos kyi dbang po/","1808","1887","G3933,G3219,G432,G3766"
"P2707","kun bzang bde chen rdo rje/","1843","1891","G9"
"P271","the bo ye shes thub bstan rgya mtsho/","1806","1846","G438"
"P274","tA la'i bla ma 09 lung rtogs rgya mtsho/","1805","1815","G108,G222"
"P2748","sgang steng sprul sku 08 o rgyan 'phrin las rdo rje/","1906","1949","G183"
"P2749","pad+ma 'od gsal 'gyur med rdo rje/","1930","1955","G9"
"P275","dkon mchog bstan pa rab rgyas/","1801","1866","G162,G249"
"P2751","pad gling thugs sras 09 thub bstan dpal 'bar/","1906","1939" , 
"P2757","hor ston don grub rgya mtsho/","1655","1727","G109,G337"
"P2760","gtsos khri sprul 01 rgyal mtshan seng+ge","1678","1756","G956,G109,G236,G293,G337"
"P2763","khri 57 bsam gtan phun tshogs/","1703","1770","G337,G304,G126,G236"
"P2764","khri 58 ngag dbang chos grags/","1707","1778","G155,G337,G394,G161,G77"
"P2765","khri 59 ngag dbang chos grags/","1710","1772","G237,G76,G236,G337,G304"
"P2766","khri 60 blo bzang bstan pa/","1725","1782","G394,G155,G77,G337,G77"
"P2767","spro nang pa blo bzang smon lam/","1729","1798","G4535,G337,G77,G126,G394"
"P2768","khri 63 blo bzang mkhas mchog","1736","1792","G236,G337,G237"
"P2769","tre hor blo bzang bkra shis/","1739","1801","G77,G394,G155,G337,G1541"
"P277","ye shes chos 'phel 2","1798","1870","G247"
"P278","g.yung drung gling mkhan po 01 zla ba rgyal mtshan/","1796","1863","G4,G3"
"P2784","shangs dkar ba rin chen rgyal mtshan/","1353","1434" , 
"P2785","lkug lung pa sangs rgyas dpal bzang /","1398","1465" , 
"P279","rong po grub chen 04 blo bzang chos grags rgya mtsho/","1795","1843","G163"
"P28","khri 10 ye shes bzang po/","1415","1498","G126,G337,G304"
"P280","tho yon ye shes don grub bstan pa'i rgyal mtshan/","1792","1855" , 
"P281","bsod grags sprul sku 02 dkon mchog rgya mtsho/","1790","1858","G162,G301"
"P282","chu bzang ye shes rgya mtsho/","1789","1856","G76"
"P284","seng chen blo bzang bstan 'dzin dpal 'byor/","1784","1843","G104,G104"
"P2847","gser gling pa bkra shis dpal/","1292","1365","G342"
"P285","bstan pa'i nyi ma/","1782","1853","G104"
"P286","brag ri dam tshig rdo rje/","1781","1855" , 
"P2866","dpa' ris pa dkon mchog bde chen/","1737","1796","G109,G162,G1931"
"P287","zhabs dkar ba tshogs drug rang grol/","1781","1851" , 
"P2885","gnubs chen sangs rgyas ye shes/","0832","0942" , 
"P2889","zur chen shAkya 'byung gnas/","1002","1062","G392"
"P289","dngul chu d+harma b+ha dra/","1772","1851","G478"
"P2890","zur chung shes rab grags pa/","1014","1074","G2840,G392"
"P2892","sgro phug pa shAkya seng+ge","1074","1134" , 
"P29","rdo sbis dge bshes shes rab rgya mtsho/","1884","1968","G112"
"P290","lcang lung paN+Di ta ngag dbang blo bzang bstan pa'i rgyal mtshan/","1770","1845","G262"
"P2915","'jam dbyangs grags pa rgyal mtshan/","1365","1448","G275"
"P292","bis pa ngag dbang mi pham zla ba/","1767","1807","G8LS12318,G8LS12302,G163"
"P2923","khri 04 legs pa rgyal mtshan/","1375","1450","G337,G275"
"P293","rdo grub chen 01 'jigs med 'phrin las 'od zer/","1745","1821" , 
"P2943","dge rtse paN chen 'gyur med tshe dbang mchog grub/","1761","1829","G518"
"P295","stag phu 05 blo bzang chos kyi dbang phyug","1765","1792","G354"
"P296","bkra thang blo bzang chos kyi nyi ma/","1763","1821" , 
"P2976","a mchog 02 dkon mchog bstan pa'i rgyal mtshan/","1783","1848","G393"
"P298","gung thang bstan pa'i sgron me/","1762","1823","G3090,G162"
"P299","kong po ye shes brtson 'grus/","1761","1816","G285,G285"
"P2AG1","lcags ra sprul sku 06 ngag dbang 'phrin las dpal bzang /","1730","1794","G180"
"P2AG11","dkon rdor sprul sku 03 blo bzang phyogs las rnam rgyal/","1762","1839","G180"
"P2AG12","dkon rdor sprul sku 04 blo bzang 'jam dpal bstan 'dzin rnam rgyal/","1840","1892","G1AG82,G180"
"P2AG13","dkon rdor sprul sku 05 blo bzang 'rnam rgyal bstan 'dzin lhun grub/","1894","1950","G180"
"P2AG14","rgya ra 02 dkon mchog bstan 'dzin/","1634","1644","G180"
"P2AG15","rgya ra 03 blo bzang phun tshogs rnam rgyal/","1646","1676","G180"
"P2AG16","rgya ra 04 blo bzang bstan 'dzin 'phrin las/","1681","1731","G4302"
"P2AG17","rgya ra 05 skal bzang chos drags dpal ldan/","1734","1791","G4302"
"P2AG18","rgya ra 06 blo bzang chos 'phel/","1792","1841","G4302"
"P2AG19","rje brtsun byams pa mtha' yas dpal bzang po/","1894","1949","G1AG82"
"P2AG2","lcags ra sprul sku 01 sangs rgyas dpal 'byor/","1449","1523","G180"
"P2AG25","bru rgyal ba g.yung drung /","1242","1290" , 
"P2AG27","'gro 'dul rdo rje bstan 'dzin/","1921","2005" , 
"P2AG28","pad tshal gling sprul sku 01 sgrub thob rnam rgyal lhun grub/","1718","1786" , 
"P2AG3","lcags ra sprul sku 02 chos rje ngag dbang /","1525","1591" , 
"P2AG30","pad tshal gling sprul 03 'jigs med 'gro don rdo rje/","1853","1883","G2AG31"
"P2AG32","pad tshal gling sprul sku 02 'jigs med 'bstan pa'i rgyal mtshan/","1788","1850","G2AG31"
