Dharma_Drum_Authority_No,Main_Name,Birth,Death
A000408,行秀,+1166-02-10 ~ +1167-01-29,+1246-05-30
A000411,行省,+1600-02-06,+1668-06-14
A000412,行悅,+1620-01-01 ~ +1620-12-31,+1685-01-05
A000419,行森,+1614-02-09 ~ +1615-01-28,+1677-07-26
A000421,行策,+1628-01-01 ~ +1628-12-31,+1682-08-21
A000431,卍山道白,+1635-01-01 ~ +1635-12-31,+1714-02-15 ~ +1715-02-03
A000432,曉柔,+1827-01-01 ~ +1827-12-31,+1886-12-27
A000441,佛馱跋陀羅,+0359-01-01 ~ +0359-12-31,+0429-02-21 ~ +0430-02-09
A000446,何道全,+1319-01-01 ~ +1319-12-31,+1399-01-01 ~ +1399-12-31
A000448,佐伯定胤,+1867-07-26,+1952-11-23
A000457,呂夷簡,+0978-01-01 ~ +0978-12-31,+1040-01-01 ~ +1040-12-31
A000458,呂夏卿,+1018-01-26 ~ +1019-02-13,+1070-02-20 ~ +1071-02-08
A000470,天台妙倫,+1201-09-22,+1261-06-01
A000472,妙高,+1219-03-12,+1293-07-28
A000475,宗杲   ,+1089-12-20,+1163-09-16
A000480,趙昚,+1127-01-01 ~ +1127-12-31,+1194-07-24
A000489,希陵,+1247-01-01 ~ +1247-12-31,+1322-05-06
A000506,快道,+1751-12-14 ~ +1752-02-14,+1810-03-26
A000508,曷利沙伐彈那,+0590-01-01 ~ +0590-12-31,+0648-01-01 ~ +0648-12-31
A000513,戒珠,+0985-01-01 ~ +0985-12-31,+1077-10-18
A000517,李通玄,+0645-01-01 ~ +0645-12-31,+0740-02-06 ~ +0741-01-25
A000519,李華,+0715-01-01 ~ +0715-12-31,+0766-12-22 ~ +0767-02-07
A000520,李遵勗,+0988-01-01 ~ +0988-12-31,+1038-12-22 ~ +1039-02-01
A000525,法順,+0558-01-01 ~ +0558-12-31,+0641-01-05
A000527,求那跋陀羅,+0394-01-01 ~ +0394-12-31,+0468-02-10 ~ +0469-01-29
A000529,沙囉巴,+1259-01-01 ~ +1259-12-31,+1314-11-20
A000531,沈善登,+1830-01-25 ~ +1831-02-12,+1902-02-08 ~ +1903-01-28
A000535,良忠,+1199-01-01 ~ +1199-12-31,+1287-12-04 ~ +1288-02-10
A000540,良賁,+0717-01-01 ~ +0717-12-31,+0777-04-26
A000545,那連提黎耶舍,+0490-01-01 ~ +0490-12-31,+0589-10-16
A000548,忻悟,+1337-01-01 ~ +1337-12-31,+1391-06-13
A000552,卑摩羅叉,+0337-01-01 ~ +0337-12-31,+0413-02-18 ~ +0414-02-06
A000555,受登,+1607-06-28,+1675-07-31
A000560,周理,+1591-01-25 ~ +1592-02-12,+1647-02-05 ~ +1648-01-24
A000562,周夢顏,+1656-01-01 ~ +1656-12-31,+1739-02-08 ~ +1739-03-09
A000564,孤雲懷奘,+1198-02-25 ~ +1199-02-03,+1280-09-26
A000571,宗印,+1149-01-01 ~ +1149-12-31,+1214-01-27
A000577,宗性,+1202-01-01 ~ +1202-12-31,+1278-07-06
A000581,宗泐,+1318-08-21,+1390-10-30
A000584,宗峰妙超,+1282-01-01 ~ +1282-12-31,+1337-02-10 ~ +1338-01-29
A000587,宗密,+0780-01-01 ~ +0780-12-31,+0841-02-05
A000589,宗淨,+1376-01-01 ~ +1376-12-31,+1442-05-02
A000601,宗曉,+1151-01-01 ~ +1151-12-31,+1214-10-02
A000603,宗叡,+0808-02-04 ~ +0809-01-23,+0884-02-05 ~ +0884-03-08
A000617,居簡,+1164-01-01 ~ +1164-12-31,+1246-04-25
A000619,帛尸梨密多羅,+0247 ~ +0262,+0335-02-11 ~ +0342-07-27
A000624,忠尋,+1065-01-01 ~ +1065-12-31,+1138-11-12 ~ +1138-12-10
A000632,性音,+1671-01-01 ~ +1671-12-31,+1726-08-26
A000635,性統,+1661-01-01 ~ +1661-12-31,+1717-11-03
A000640,性澄,+1265-01-01 ~ +1265-12-31,+1342-09-10
