Dharma_Drum_Authority_No,Main_Name,Birth,Death
A006265,李榮祥,+1894-01-01 ~ +1894-12-31,+1950-01-01 ~ +1950-12-31
A006268,曇倫,+0538 ~ +0546,+0626-02-05 ~ +0627-01-25
A006272,普明,+0531,+0627
A006275,無礙,+0552-01-01 ~ +0552-12-31,+0645-02-05 ~ +0646-01-24
A006279,道暀,+0547-01-01 ~ +0547-12-31,+0628-10-28
A006281,法顯,+0577-01-01 ~ +0577-12-31,+0653-02-16
A006288,玄爽,+0579-01-01 ~ +0579-12-31,+0658-02-11 ~ +0659-01-31
A006292,惠普,+0579-01-01 ~ +0579-12-31,+0658-02-11 ~ +0659-01-31
A006293,惠仙,+0581-01-01 ~ +0581-12-31,+0655-12-23
A006295,惠寬,+0584-01-01 ~ +0584-12-31,+0653-07-28
A006303,僧倫,+0565-01-01 ~ +0565-12-31,+0649-06-30
A006307,竇建德,+0573-01-01 ~ +0573-12-31,+0621-01-01 ~ +0621-12-31
A006310,智巖,+0600-01-01 ~ +0600-12-31,+0677-02-20
A006311,靜之,+0604-01-01 ~ +0604-12-31,+0660-05-15
A006316,善伏,+0570,+0660-02-19 ~ +0661-02-07
A006332,解脫,+0557,+0650-02-10 ~ +0656-02-09
A006343,法嚮,+0553-01-01 ~ +0553-12-31,+0630-02-21 ~ +0631-02-09
A006348,惠明,+0570,+0664
A006354,慧光,+0469-01-01 ~ +0469-12-31,+0538-04-30
A006357,道禪,+0458-01-01 ~ +0458-12-31,+0527-04-29 ~ +0528-02-07
A006373,法願,+0524-01-01 ~ +0524-12-31,+0587-08-03
A006375,尒朱世隆,+0500-01-01 ~ +0500-12-31,+0532-05-22
A006379,楊忠,+0507-01-01 ~ +0507-12-31,+0568-02-16 ~ +0569-02-03
A006381,釋道成,+0532-01-01 ~ +0532-12-31,+0599-02-03 ~ +0600-01-22
A006388,智保,+0537,+0627-01-25
A006390,智詵,+0539-01-01 ~ +0539-12-31,+0618-10-27
A006393,慧主,+0541-01-01 ~ +0541-12-31,+0629-02-02 ~ +0630-02-20
A006394,智炫,+0488,+0605
A006400,竇氏,+0569,+0613
A006401,陳屺懷,+1872-11-30,+1943-10-19
A006404,金天翮,+1873-01-01 ~ +1873-12-31,+1947-01-01 ~ +1947-12-31
A006419,羅聘,+1733-01-01 ~ +1733-12-31,+1799-01-01 ~ +1799-12-31
A006420,慧滿,+0589-01-01 ~ +0589-12-31,+0642-02-08 ~ +0643-01-28
A006422,杜如晦,+0585-01-01 ~ +0585-12-31,+0630-05-09
A006426,慧蕭,+0568-01-01 ~ +0568-12-31,+0640-02-01 ~ +0641-02-18
A006438,道積,+0568-01-01 ~ +0568-12-31,+0636-10-24
A006441,慧進,+0560-01-01 ~ +0560-12-31,+0645-02-19
A006445,道亮,+0569-02-04,+0670
A006447,袁希洛,+1876-01-26 ~ +1877-02-12,+1962-01-01 ~ +1962-12-31
A006450,劉肇,+0079-01-01 ~ +0079-12-31,+0105-01-01 ~ +0105-12-31
A006453,劉炟,+0058-01-01 ~ +0058-12-31,+0088-01-01 ~ +0088-12-31
A006454,靳雲鵬,+1877-01-01 ~ +1877-12-31,+1951-01-30
A006455,劉隆,+0105-02-01 ~ +0105-05-16,+0106-09-15 ~ +0106-09-19
A006456,劉祜,+0094-01-01 ~ +0094-12-31,+0125-02-20 ~ +0125-04-29
A006458,劉保,+0115-01-01 ~ +0115-12-31,+0144-09-19 ~ +0145-02-08
A006459,劉炳,+0143-01-01 ~ +0143-12-31,+0145-01-01 ~ +0145-12-31
A006460,劉纘,+0138-01-01 ~ +0138-12-31,+0146-01-01 ~ +0146-12-31
A006461,劉辯,+0176-01-28 ~ +0177-02-14,+0190-03-05
A006462,張曙蕉,+1900-01-01 ~ +1900-12-31,+1970-01-01 ~ +1970-12-31
A006463,劉協,+0181-01-01 ~ +0181-12-31,+0234-01-01 ~ +0234-12-31
A006464,慧旻,+0559,+0650
A006465,曹叡,+0205-01-01 ~ +0205-12-31,+0239-01-22
A006466,曹芳,+0232-01-01 ~ +0232-12-31,+0274-01-01 ~ +0274-12-31
A006468,曹髦,+0241-01-01 ~ +0241-12-31,+0260-01-30 ~ +0260-06-02
A006469,曹奐,+0246-01-01 ~ +0246-12-31,+0303-01-27 ~ +0303-02-03
A006472,劉備,+0161-01-01 ~ +0161-12-31,+0223-06-10
A006477,劉禪,+0207-01-01 ~ +0207-12-31,+0271-01-01 ~ +0271-12-31
A006480,孫亮,+0243-01-01 ~ +0243-12-31,+0260-01-01 ~ +0260-12-31
A006481,孫休,+0235-01-01 ~ +0235-12-31,+0264-02-15 ~ +0264-09-03
A006483,司馬熾,+0284-01-01 ~ +0284-12-31,+0313-01-01 ~ +0313-12-31
A006484,司馬業,+0300-01-01 ~ +0300-12-31,+0318-02-07
A006485,司馬奕,+0342-01-01 ~ +0342-12-31,+0386-01-01 ~ +0386-12-31
A006486,司馬德文,+0386-01-01 ~ +0386-12-31,+0421-09-01 ~ +0421-09-30
A006488,劉義符,+0406-01-01 ~ +0406-12-31,+0424-02-17 ~ +0424-08-05
A006491,道胄,+0575-01-01 ~ +0575-12-31,+0659-02-01 ~ +0660-02-18
A006492,蕭昭業,+0473-01-01 ~ +0473-12-31,+0494-01-01 ~ +0494-12-31
A006494,蕭昭文,+0480-01-01 ~ +0480-12-31,+0494-11-01 ~ +0494-11-30
A006496,蕭鸞,+0452-01-01 ~ +0452-12-31,+0498-01-01 ~ +0498-12-31
A006497,蕭寶融,+0488-01-01 ~ +0488-12-31,+0502-01-01 ~ +0502-12-31
A006501,蕭方智,+0543-01-01 ~ +0543-12-31,+0558-01-01 ~ +0558-12-31
A006502,道興,+0593-01-01 ~ +0593-12-31,+0659-02-01 ~ +0660-02-18
A006506,拓跋弘,+0454-01-01 ~ +0454-12-31,+0476-01-01 ~ +0476-12-31
A006507,曇光,+0559,+0684
A006508,元子攸,+0507-01-01 ~ +0507-12-31,+0530-01-01 ~ +0530-12-31
A006511,元恭,+0498-01-01 ~ +0498-12-31,+0532-01-01 ~ +0532-12-31
A006512,拓跋朗,+0513-01-01 ~ +0513-12-31,+0532-01-01 ~ +0532-12-31
A006514,拓跋廓,+0537-01-01 ~ +0537-12-31,+0557-01-01 ~ +0557-12-31
A006515,高殷,+0545-01-01 ~ +0545-12-31,+0561-01-01 ~ +0561-12-31
A006516,高演,+0536-01-01 ~ +0536-12-31,+0561-01-01 ~ +0561-12-31
A006517,曇顯,+0460,+0577
A006519,高恆,+0571-01-01 ~ +0571-12-31,+0578-01-26 ~ +0578-04-18
A006520,宇文覺,+0542-01-01 ~ +0542-12-31,+0557-01-01 ~ +0557-12-31
A006521,宇文衍,+0573-01-01 ~ +0573-12-31,+0581-03-06 ~ +0582-02-10
A006523,李雄,+0274-01-01 ~ +0274-12-31,+0334-02-21 ~ +0335-02-10
A006524,李期,+0314-01-01 ~ +0314-12-31,+0338-01-01 ~ +0338-12-31
A006525,李壽,+0300-01-01 ~ +0300-12-31,+0343-01-01 ~ +0343-12-31
A006527,劉淵,+0251,+0310-01-01 ~ +0310-12-31
A006529,張茂,+0277-01-01 ~ +0277-12-31,+0324-01-01 ~ +0324-12-31
A006530,張駿,+0307-01-01 ~ +0307-12-31,+0346-01-01 ~ +0346-12-31
A006531,張重華,+0327-01-01 ~ +0327-12-31,+0353-01-01 ~ +0353-12-31
A006532,張玄靚,+0350-01-01 ~ +0350-12-31,+0363-03-21 ~ +0364-02-19
A006533,張天錫,+0346-01-01 ~ +0346-12-31,+0406-01-01 ~ +0406-12-31
A006537,苻生,+0335-01-01 ~ +0335-12-31,+0357-02-07 ~ +0357-07-03
A006541,僧猛,+0507-01-01 ~ +0507-12-31,+0588-02-05 ~ +0589-01-23
A006542,慕容垂,+0326-01-01 ~ +0326-12-31,+0396-01-01 ~ +0396-12-31
A006543,慕容寶,+0355-01-01 ~ +0355-12-31,+0398-01-01 ~ +0398-12-31
A006548,慕容盛,+0373-01-01 ~ +0373-12-31,+0401-01-31 ~ +0401-09-14
A006549,慕容熙,+0385-01-01 ~ +0385-12-31,+0407-02-24 ~ +0407-09-17
A006551,衛元嵩,+0507 ~ +0565,+0573 ~ +0612
A006561,慕容超,+0385-01-01 ~ +0385-12-31,+0410-02-21 ~ +0410-04-20
A006562,李暠,+0351-01-01 ~ +0351-12-31,+0417-01-01 ~ +0417-12-31
A006569,楊侑,+0605-01-01 ~ +0605-12-31,+0619-01-01 ~ +0619-12-31
A006570,李瀍,+0814-07-06,+0846-04-26
A006571,李漼,+0833-11-14,+0873-01-01 ~ +0873-12-31
A006572,李柷,+0892-10-01,+0908-03-30
A006574,朱友貞,+0888-01-01 ~ +0888-12-31,+0923-01-25 ~ +0923-12-22
A006575,李存勗,+0885-11-22,+0926-05-15
A006576,李嗣源,+0867-10-10,+0933-12-15
A006577,李從厚,+0914-01-01 ~ +0914-12-31,+0934-01-23 ~ +0934-05-28
A006578,李從珂,+0886-01-01 ~ +0886-12-31,+0936-12-17
A006579,石敬瑭,+0892-04-03,+0942-08-02
A006580,石重貴,+0914-01-01 ~ +0914-12-31,+0974-07-15
A006581,明導,+0600,+0690
A006582,劉知遠,+0895-01-01 ~ +0895-12-31,+0948-02-22 ~ +0948-03-14
A006583,劉承祐,+0929-01-01 ~ +0929-12-31,+0949-02-06 ~ +0950-01-25
A006584,郭威,+0904-09-15,+0953-01-23 ~ +0954-02-10
A006586,柴榮,+0921-01-01 ~ +0921-12-31,+0959-07-14 ~ +0959-08-01
A006587,柴宗訓,+0954-01-01 ~ +0954-12-31,+0973-04-11 ~ +0973-05-10
A006588,王建 ,+0847-01-01 ~ +0847-12-31,+0918-01-01 ~ +0918-12-31
A006589,王衍 ,+0899,+0926-01-01 ~ +0926-12-31
A006590,劉龑,+0889-01-01 ~ +0889-12-31,+0942-01-01 ~ +0942-12-31
A006591,劉玢,+0920-01-01 ~ +0920-12-31,+0943-01-01 ~ +0943-12-31
A006592,劉晟,+0920-01-01 ~ +0920-12-31,+0958-01-01 ~ +0958-12-31
A006593,劉鋹,+0942-01-01 ~ +0942-12-31,+0980-01-01 ~ +0980-12-31
A006598,孟知祥,+0874-01-01 ~ +0874-12-31,+0934-01-01 ~ +0934-12-31
A006599,孟昶,+0919-01-01 ~ +0919-12-31,+0965-02-10 ~ +0965-03-10
A006600,李昪,+0888-01-01 ~ +0888-12-31,+0943-02-13 ~ +0943-04-12
A006601,李璟,+0916-01-01 ~ +0916-12-31,+0961-01-01 ~ +0961-12-31
A006602,劉旻,+0895-01-01 ~ +0895-12-31,+0954-12-03 ~ +0955-01-31
A006603,劉鈞,+0926-01-01 ~ +0926-12-31,+0968-02-07 ~ +0968-08-01
A006604,劉繼元,+0939 ~ +0967,+0992-01-30
A006606,趙禎,+1010-06-05,+1063-05-06
A006607,趙桓,+1100-01-01 ~ +1100-12-31,+1156-01-31 ~ +1157-02-18
A006608,趙惇,+1148-01-01 ~ +1148-12-31,+1200-01-25 ~ +1201-02-11
A006611,趙禥,+1240-01-01 ~ +1240-12-31,+1274-02-16 ~ +1274-08-18
A006612,趙㬎,+1272-01-01 ~ +1272-12-31,+1323-05-14 ~ +1323-06-11
A006613,趙昰,+1268-01-01 ~ +1268-12-31,+1278-01-01 ~ +1278-12-31
A006614,趙昺,+1271-01-01 ~ +1271-12-31,+1279-01-01 ~ +1279-12-31
A006616,耶律阿保機,+0872-01-01 ~ +0872-12-31,+0926-09-06
A006617,耶律德光,+0902-11-25,+0947-04-29 ~ +0947-05-19
A006618,耶律阮,+0919-01-29,+0951-10-07
A006619,道臻,+0466,+0557
A006620,耶律璟,+0931-01-01 ~ +0931-12-31,+0969-01-26 ~ +0969-03-17
A006621,耶律賢,+0948-01-01 ~ +0948-12-31,+0982-09-25 ~ +0982-10-18
A006622,耶律隆緒,+0971-01-01 ~ +0971-12-31,+1031-06-29 ~ +1031-06-30
A006623,耶律宗真,+1016-01-01 ~ +1016-12-31,+1055-08-31 ~ +1055-09-02
A006624,耶律洪基,+1032-01-01 ~ +1032-12-31,+1101-01-01 ~ +1101-01-31
A006625,耶律延禧,+1075-01-01 ~ +1075-12-31,+1128-01-01 ~ +1128-12-31
A006628,完顏阿骨打,+1068-01-01 ~ +1068-12-31,+1123-08-30 ~ +1123-09-25
A006629,完顏晟,+1075-01-01 ~ +1075-12-31,+1135-01-23 ~ +1135-02-16
A006630,完顏亶,+1119-02-19 ~ +1120-02-07,+1150-01-16
A006631,完顏亮,+1122-01-01 ~ +1122-12-31,+1161-11-26 ~ +1161-12-21
A006632,完顏雍,+1123-01-01 ~ +1123-12-31,+1189-01-26
A006633,完顏璟,+1168-01-01 ~ +1168-12-31,+1208-01-26 ~ +1209-01-04
A006634,僧衄,+0466,+0581
A006636,完顏珣,+1163-01-01 ~ +1163-12-31,+1224-01-14
A006637,完顏守緒,+1198-09-25,+1234-02-09
A006639,李元昊,+1003-06-13,+1048-01-25
A006640,李諒祚,+1047-03-05,+1068-01-14 ~ +1068-02-11
A006642,李秉常,+1061-01-01 ~ +1061-12-31,+1086-08-27
A006644,李乾順,+1083-01-01 ~ +1083-12-31,+1139-07-08
A006645,李仁孝,+1124-01-01 ~ +1124-12-31,+1193-10-23
A006646,李純祐,+1176-01-01 ~ +1176-12-31,+1205-01-29 ~ +1206-02-16
A006647,李安全,+1170-01-01 ~ +1170-12-31,+1211-09-13
A006648,李遵頊,+1163-01-01 ~ +1163-12-31,+1226-01-01 ~ +1226-12-31
A006649,李德旺,+1181-01-01 ~ +1181-12-31,+1226-01-01 ~ +1226-12-31
A006651,耶律淳,+1063-01-01 ~ +1063-12-31,+1122-02-16 ~ +1123-02-04
A006654,耶律雅里,+1094-01-01 ~ +1094-12-31,+1123-01-01 ~ +1123-12-31
A006656,耶律大石,+1087-01-01 ~ +1087-12-31,+1143-01-01 ~ +1143-12-31
A006661,拖雷,+1192-01-01 ~ +1192-12-31,+1232-01-01 ~ +1232-12-31
A006662,釋茗山,+1914-03-16,+2001-06-01
A006664,費冠卿,+0763 ~ +0806,+0824 ~ +0862
A006669,蒙哥,+1209-01-10,+1259-08-11
A006670,孛兒只斤碩德八剌,+1303-02-22,+1323-09-04
A006671,孛兒只斤也孫鐵木兒,+1293-11-28,+1328-08-15
A006674,孛兒只斤圖帖睦爾,+1304-01-01 ~ +1304-12-31,+1332-09-02
A006676,孛兒只斤妥懽貼睦爾,+1320-05-25,+1370-05-23
A006677,朱允炆,+1377-12-05,+1478
A006678,朱高熾,+1378-01-01 ~ +1378-12-31,+1425-06-08 ~ +1425-06-24
A006680,地藏,+0705-01-01 ~ +0705-12-31,+0803-01-31 ~ +0804-02-18
A006682,朱瞻基,+1399-01-01 ~ +1399-12-31,+1435-02-09
A006683,朱祁鎮,+1427-01-01 ~ +1427-12-31,+1464-02-23
A006684,朱祁鈺,+1428-01-01 ~ +1428-12-31,+1457-01-01 ~ +1457-12-31
A006687,朱見深,+1447-01-01 ~ +1447-12-31,+1487-09-09
A006688,興慈,+1881-01-01 ~ +1881-12-31,+1950-06-02
A006689,朱厚照,+1491-10-26,+1521-04-20
A006690,朱厚熜,+1507-09-16,+1567-02-02
A006691,朱載垕,+1537-02-20 ~ +1538-02-09,+1572-07-15
A006692,朱常洛,+1582-08-28,+1620-09-26
A006693,程德全,+1860-01-01 ~ +1860-12-31,+1930-05-01 ~ +1930-05-31
A006694,朱由校,+1605-01-01 ~ +1605-12-31,+1627-02-16 ~ +1627-09-30
A006696,朱由檢,+1612-01-01 ~ +1612-12-31,+1644-02-08 ~ +1644-04-25
A006698,朱由崧,+1607-01-01 ~ +1607-12-31,+1646-05-23
A006700,朱聿鍵,+1603-01-01 ~ +1603-12-31,+1646-01-01 ~ +1646-12-31
A006702,朱以海,+1618-07-06,+1662-12-23
A006703,王季同,+1876-01-01 ~ +1876-12-31,+1948-01-01 ~ +1948-12-31
A006704,朱由榔,+1623-01-31 ~ +1624-02-18,+1662-06-01
A006705,趙宗汴,+1874-01-01 ~ +1874-12-31,+1947-01-01 ~ +1947-12-31
A006706,愛新覺羅努爾哈赤,+1559-01-01 ~ +1559-12-31,+1626-01-01 ~ +1626-12-31
A006707,王隺,+1877-01-01 ~ +1877-12-31,+1960-01-01 ~ +1960-12-31
A006709,愛新覺羅皇太極,+1592-11-28,+1643-09-21
A006710,劉啟,-0188-01-01 ~ -0188-12-31,-0141-01-01 ~ -0141-12-31
A006714,愛新覺羅福臨,+1638-01-01 ~ +1638-12-31,+1661-02-05
A006719,愛新覺羅玄燁,+1654-05-04,+1722-12-20
A006725,智實,+0601-01-01 ~ +0601-12-31,+0638-01-24 ~ +0638-02-22
A006727,愛新覺羅弘曆,+1711-09-25,+1799-02-05 ~ +1800-01-24
A006728,愛新覺羅顒琰,+1760-11-13,+1820-02-14 ~ +1820-09-02
A006730,愛新覺羅旻寧,+1782-09-16,+1850-02-25
A006732,愛新覺羅奕詝,+1831-07-17,+1861-08-22
A006735,愛新覺羅載淳,+1857-01-01 ~ +1857-12-31,+1874-02-17 ~ +1875-01-12
A006736,愛新覺羅載湉,+1871-08-14,+1908-11-14
A006737,愛新覺羅溥儀,+1906-02-07,+1967-10-17
A006739,劉嬰,+0005-01-01 ~ +0005-12-31,+0025-01-01 ~ +0025-12-31
A006740,許止淨,+1876-01-01 ~ +1876-12-31,+1938-09-03
A006741,劉盈,-0210-01-01 ~ -0210-12-31,-0187-09-13 ~ -0187-09-23
A006743,呂雉,-0241-01-01 ~ -0241-12-31,-0180-01-01 ~ -0180-12-31
A006745,劉恆,-0202-01-01 ~ -0202-12-31,-0157-01-01 ~ -0157-12-31
A006747,馬端臨,+1254-01-01 ~ +1254-12-31,+1323-01-01 ~ +1323-12-31
A006748,曇選,+0531-01-01 ~ +0531-12-31,+0625-02-16 ~ +0626-02-04
A006749,劉弗陵,-0094-01-01 ~ -0094-12-31,-0074-01-01 ~ -0074-12-31
A006751,劉詢,-0091-01-01 ~ -0091-12-31,-0049-01-01 ~ -0049-12-31
A006752,劉奭,-0073-01-01 ~ -0073-12-31,-0032-02-16 ~ -0032-07-06
A006753,法通,+0527,+0627
A006754,劉驁,-0050-01-01 ~ -0050-12-31,-0006-01-29 ~ -0006-04-15
A006755,劉欣,-0024-01-01 ~ -0024-12-31,+0000-02-22 ~ +0000-08-13
A006756,劉衎,-0008-02-20 ~ -0007-02-08,+0006-02-01
A006758,項羽,-0232-01-01 ~ -0232-12-31,-0202-01-01 ~ -0202-12-31
A006761,弘智,+0595-01-01 ~ +0595-12-31,+0655-02-15 ~ +0656-02-03
A006762,道會,+0583,+0650
A006765,嬴胡亥,-0230-01-01 ~ -0230-12-31,-0207-01-01 ~ -0207-12-31
A006771,錢元瓘,+0887-01-01 ~ +0887-12-31,+0941-02-04 ~ +0942-01-24
A006772,錢弘佐,+0928-01-01 ~ +0928-12-31,+0947-03-15 ~ +0948-02-17
A006773,錢弘倧,+0928-01-01 ~ +0928-12-31,+0971-01-01 ~ +0971-12-31
A006774,錢俶,+0929-01-01 ~ +0929-12-31,+0988-01-01 ~ +0988-12-31
A006782,張軌,+0255-01-01 ~ +0255-12-31,+0314-06-23
A006785,智勤,+0586-01-01 ~ +0586-12-31,+0659-06-14
A006789,朱祐樘,+1470-01-01 ~ +1470-12-31,+1505-06-18
A006794,林德林,+1890-01-29,+1951-09-17
A006798,代高祖,+0320-01-01 ~ +0320-12-31,+0376-01-01 ~ +0376-12-31
A006811,植相,+0505,+0541
A006813,慧簡,+0467,+0557
A006818,僧林,+0485 ~ +0534,+0546 ~ +0595
A006821,僧照,+0490,+0531
A006823,周敦頤,+1017-01-01 ~ +1017-12-31,+1073-07-20
A006824,道豐,+0510,+0611
A006825,僧雲,+0510,+0601
A006826,圓通,+0524 ~ +0572,+0574 ~ +0623
A006829,慧瑱,+0510,+0601
A006830,慧寶,+0531,+0623
A006831,慧雲,+0530,+0621
A006832,僧遠,+0531,+0623
A006833,傅弘,+0497-06-24,+0569-05-27
A006834,洪獻,+0553,+0645
A006836,僧朗,+0514,+0617
A006837,慧峯,+0510,+0566
A006839,道仙,+0480,+0601
A006841,蕭嶦,+0478-01-01 ~ +0478-12-31,+0522-12-06 ~ +0523-01-04
A006842,王建,+0877-01-01 ~ +0877-12-31,+0943-01-01 ~ +0943-12-31
A006848,法安,+0518-01-01 ~ +0518-12-31,+0615-02-07 ~ +0616-01-26
A006850,慧巖,+0604,+0696
A006851,慧偘,+0524-01-01 ~ +0524-12-31,+0605-01-28 ~ +0606-02-15
A006852,賈逸,+0518,+0610
A006856,郭東史,+1885-01-01 ~ +1885-12-31,+1947-02-21
A006859,道英,+0557-01-01 ~ +0557-12-31,+0636-02-15 ~ +0637-02-03
A006862,李濟深,+1885-01-01 ~ +1885-12-31,+1959-10-09
A006863,陳銘樞,+1889-01-01 ~ +1889-12-31,+1965-01-01 ~ +1965-12-31
A006866,覺初,+1888-01-01 ~ +1888-12-31,+1935-07-24
A006869,謝雪漁,+1871-01-01 ~ +1871-12-31,+1953-01-01 ~ +1953-12-31
A006877,又德,+0548,+0638-01-24 ~ +0639-02-11
A006879,周贇,+1834-01-01 ~ +1834-12-31,+1911-01-01 ~ +1911-12-31
A006881,德森,+1883-02-08 ~ +1884-01-27,+1962-11-26
A006882,應物,+0798 ~ +0846,+0861 ~ +0910
A006884,滕宗諒,+0990-01-01 ~ +0990-12-31,+1047-01-01 ~ +1047-12-31
A006886,智則,+0586,+0701
A006887,王銘章,+1893-07-04,+1938-03-14
A006889,曹錕,+1862-12-12,+1938-05-17
A006890,鄭子屏,+1886-01-01 ~ +1886-12-31,+1927-01-01 ~ +1927-12-31
A006894,通達,+0586,+0701
A006900,明琛,+0460,+0577
A006906,香闍梨,+0476 ~ +0504,+0581 ~ +0595
A006907,僧安,+0532,+0624
A006911,猷,+0466,+0581
A006915,葛洪,+0284-01-01 ~ +0284-12-31,+0363-01-01 ~ +0363-12-31
A006916,僧度,+0516,+0632
A006921,顧隨,+1897-01-01 ~ +1897-12-31,+1960-01-01 ~ +1960-12-31
A006923,岑伯榘,+1878-01-01 ~ +1878-12-31,+1959-10-13
A006924,葉恭綽,+1881-01-01 ~ +1881-12-31,+1968-09-16
A006926,尚圓,+0511,+0598
A006927,法行,+0464,+0562
A006928,智曠,+0526-01-01 ~ +0526-12-31,+0600-01-23 ~ +0601-02-10
A006929,江朝宗,+1861-01-01 ~ +1861-12-31,+1943-01-01 ~ +1943-12-31
A006933,道穆,+0441,+0557
A006941,清了,+1088-01-01 ~ +1088-12-31,+1151-11-17
A006942,無相,+0527,+0627
A006943,童進,+0490,+0590
A006945,王琳,+0526-01-01 ~ +0526-12-31,+0573-01-01 ~ +0573-12-31
A006946,真融,+1524-01-01 ~ +1524-12-31,+1592-06-12
A006947,富上,+0527,+0627
A006950,明恭,+0538-01-01 ~ +0538-12-31,+0622-02-19 ~ +0623-02-07
A006952,周應賓,+1554-01-01 ~ +1554-12-31,+1626-03-14
A006953,法進,+0493,+0588 ~ +0594
A006955,岑闍梨,+0560,+0650
A006958,道幽,+0510,+0605
A006959,通闍梨,+0556,+0671
A006960,法慶,+0530-01-01 ~ +0530-12-31,+0605-01-28 ~ +0606-02-15
A006962,劉禹錫,+0772-01-01 ~ +0772-12-31,+0842-08-14 ~ +0842-09-11
A006963,王守仁,+1472-01-01 ~ +1472-12-31,+1529-01-01 ~ +1529-12-31
A006966,德山,+0498,+0618
A006967,慧耀,+0525-01-01 ~ +0525-12-31,+0603-02-19 ~ +0604-02-08
A006969,道悅,+0587,+0656
A006977,道辯,+0527-01-01 ~ +0547-12-31,+0619 ~ +0626
A006983,慧聰,+0560,+0650
A006984,洪滿,+0557-01-01 ~ +0557-12-31,+0639-02-12 ~ +0640-01-31
A006985,法通,+0571,+0620
A006990,法施,+0586,+0701
A006991,慧因,+0571-01-01 ~ +0571-12-31,+0645-02-05 ~ +0646-01-24
A006993,蕭銑,+0583-01-01 ~ +0583-12-31,+0621-01-31 ~ +0622-02-18
A006995,李孝恭,+0591-01-01 ~ +0591-12-31,+0640-02-01 ~ +0641-02-18
A006996,法運,+0567,+0627
A006997,侯繼高,+1533-01-01 ~ +1533-12-31,+1602-01-23 ~ +1603-02-10
A006999,劉光世,+1086-01-01 ~ +1086-12-31,+1142-02-05 ~ +1143-01-24
A007002,慧岸,+0533,+0623-02-08 ~ +0624-01-28
A007003,帝示階,+0587 ~ +0623,+0651 ~ +0710
A007007,智顯,+0568,+0669
A007008,僧明,+0562-01-01 ~ +0562-12-31,+0642-02-08 ~ +0643-01-28
A007009,法聰,+0586-01-03 ~ +0587-01-02,+0656-02-10 ~ +0657-01-22
A007011,明隱,+0570,+0661-04-07 ~ +0662-01-27
A007012,劉謙之,+0428 ~ +0476,+0500 ~ +0549
A007015,法空,+0578,+0679
A007016,法沖,+0595,+0687
A007017,明解,+0620,+0715
A007025,屠隆,+1543-01-01 ~ +1543-12-31,+1605-01-01 ~ +1605-12-31
A007053,袁中道,+1575-01-01 ~ +1575-12-31,+1630-01-01 ~ +1630-12-31
A007057,智隱,+0560,+0656
A007059,馬一浮,+1883-01-01 ~ +1883-12-31,+1967-01-01 ~ +1967-12-31
A007061,闍提斯那,+0560,+0656
A007062,明誕,+0560,+0656
A007063,海玉,+1513-02-16 ~ +1514-02-04,+1623-10-07
A007073,明璨,+0527,+0627
A007076,性蓮,+1544-05-09,+1597-10-13
A007086,利鈇,+1529-01-01 ~ +1529-12-31,+1622-02-10 ~ +1623-01-30
A007089,寶積,+0560,+0656
A007091,道璨,+0574,+0655
A007104,道端,+0560,+0656
A007105,齊己,+0860-01-01 ~ +0860-12-31,+0940-01-01 ~ +0940-12-31
A007106,胡寄塵,+1886-01-01 ~ +1886-12-31,+1938-01-01 ~ +1938-12-31
A007107,僧蓋,+0527,+0627
A007110,鄭谷,+0851,+0910-01-01 ~ +0910-12-31
A007119,曇瑎,+0544,+0620
A007121,鄒元標,+1551-01-01 ~ +1552-12-31,+1624-02-19 ~ +1625-02-06
A007133,明雪,+1584-12-27,+1641-04-28
A007136,隆山,+1757-01-01 ~ +1757-12-31,+1841-01-01 ~ +1841-12-31
A007143,聖傳,+1829-01-01 ~ +1829-12-31,+1890-01-13
A007144,道貴,+0527,+0627
A007145,汪宗沂,+1837-01-01 ~ +1837-12-31,+1906-01-01 ~ +1906-12-31
A007156,法龍,+1814-01-01 ~ +1814-12-31,+1909-01-22 ~ +1910-02-09
A007158,果建,+1848-01-01 ~ +1848-12-31,+1927-04-20
A007164,諸葛節,+0707 ~ +0755,+0757 ~ +0806
A007165,劉含芳,+1840-01-01 ~ +1840-12-31,+1898-01-01 ~ +1898-12-31
A007176,法顯,+0520,+0617
A007177,周必大,+1126-01-01 ~ +1126-12-31,+1204-11-01 ~ +1204-11-29
A007178,呂澂,+1896-01-01 ~ +1896-12-31,+1989-01-01 ~ +1989-12-31
A007181,湛若水,+1466-01-01 ~ +1466-12-31,+1560-05-26
A007182,呂柟,+1479-01-01 ~ +1479-12-31,+1542-01-01 ~ +1542-12-31
A007183,張元忭,+1538-02-10 ~ +1539-01-29,+1588-01-28 ~ +1589-02-14
A007186,僧世,+0514,+0617
A007187,法周,+0546,+0632
A007195,杜荀鶴,+0846-01-01 ~ +0846-12-31,+0904-01-01 ~ +0904-12-31
A007201,張果,+0640 ~ +0688,+0743 ~ +0783
A007206,慧誕,+0556,+0632
A007208,智光,+0607 ~ +0675,+0677 ~ +0706
A007210,智教,+0560,+0656
A007211,圓超,+0560,+0656
A007213,寶憲,+0560,+0656
A007214,法朗,+0560,+0656
A007215,曇遂,+0537,+0627
A007218,曇觀,+0560,+0656
A007220,靈達,+0514,+0608
A007222,僧昕,+0560,+0656
A007224,如壽,+1538-01-01 ~ +1538-12-31,+1612-08-26 ~ +1612-09-24
