"id","data","bdate","ddate","lifespan","name","seats","female"
"A006375","ddm",500,532,32,"尒朱世隆",NA,NA
"12255","cbdb",501,531,30,"蕭統",NA,0
"146168","cbdb",501,540,39,"李希宗",NA,0
"A005035","ddm",501,531,30,"蕭統",NA,NA
"A005548","ddm",501,601,100,"慧隆",NA,NA
"A017966","ddm",501,540,39,"李希宗",NA,NA
"31004","cbdb",502,578,76,"韋敬遠",NA,0
"145767","cbdb",502,575,73,"崔幼妃",NA,1
"A012062","ddm",502,557,55,"獨孤信",NA,NA
"12828","cbdb",503,559,56,"陳霸先",NA,0
"33251","cbdb",503,551,48,"蕭綱",NA,0
"A004389","ddm",503,559,56,"陳霸先",NA,NA
"A005213","ddm",503,551,48,"蕭綱",NA,NA
"A005297","ddm",503,581,78,"曇衍",NA,NA
"A019503","ddm",503,572,69,"杜稜",NA,NA
"31450","cbdb",504,564,60,"席固",NA,0
"A004281","ddm",504,584,80,"寶瓊",NA,NA
"A005207","ddm",504,564,60,"洪偃",NA,NA
"A005890","ddm",504,547,43,"蕭續",NA,NA
"31655","cbdb",505,589,84,"殷不害",NA,0
"A006811","ddm",505,541,36,"植相",NA,NA
"A015861","ddm",505,529,24,"蕭績",NA,NA
"31770","cbdb",506,557,51,"宇文泰",NA,0
"A004958","ddm",506,572,66,"魏收",NA,NA
"A015948","ddm",506,553,47,"庾肩吾",NA,NA
"30953","cbdb",507,568,61,"楊忠",NA,0
"A002048","ddm",507,551,44,"元寶炬",NA,NA
"A002055","ddm",507,556,49,"宇文泰",NA,NA
"A002918","ddm",507,581,74,"法朗",NA,NA
"A003276","ddm",507,546,39,"劉亮",NA,NA
"A004803","ddm",507,583,76,"徐陵",NA,NA
"A005248","ddm",507,583,76,"安廩",NA,NA
"A006379","ddm",507,568,61,"楊忠",NA,NA
"A006508","ddm",507,530,23,"元子攸",NA,NA
"A006541","ddm",507,588,81,"僧猛",NA,NA
"33252","cbdb",508,554,46,"蕭繹",NA,0
"145763","cbdb",508,574,66,"李稚廉",NA,0
"145923","cbdb",508,565,57,"崔昂",NA,0
"A002426","ddm",508,554,46,"蕭繹",NA,NA
"A004814","ddm",508,583,75,"警韶",NA,NA
"A004844","ddm",508,607,99,"陳暄",NA,NA
"A005072","ddm",508,553,45,"蕭紀",NA,NA
"31015","cbdb",509,580,71,"韋孝寬",NA,0
"A004450","ddm",509,582,73,"陽休之",NA,NA
"A005233","ddm",509,599,90,"智文",NA,NA
"A006029","ddm",509,604,95,"慧實",NA,NA
"A002045","ddm",510,528,18,"元詡",NA,NA
"A005472","ddm",510,605,95,"寶儒",NA,NA
"A006024","ddm",510,605,95,"慧越",NA,NA
"A006825","ddm",510,601,91,"僧雲",NA,NA
"A006829","ddm",510,601,91,"慧瑱",NA,NA
"A006837","ddm",510,566,56,"慧峯",NA,NA
"A006958","ddm",510,605,95,"道幽",NA,NA
"95124","cbdb",511,536,25,"王訓",NA,0
"145761","cbdb",511,556,45,"李希禮",NA,0
"145764","cbdb",511,569,58,"李祖牧",NA,0
"172354","cbdb",511,563,52,"封子繪",NA,0
"A002050","ddm",511,535,24,"元修",NA,NA
"A006926","ddm",511,598,87,"尚圓",NA,NA
"31701","cbdb",512,575,63,"崔說",NA,0
"A004775","ddm",512,578,66,"吳明徹",NA,NA
"A005073","ddm",512,561,49,"寶彖",NA,NA
"A016361","ddm",512,555,43,"高岳",NA,NA
"32967","cbdb",513,573,60,"令狐整",NA,0
"145765","cbdb",513,561,48,"宋靈媛",NA,1
"A002060","ddm",513,572,59,"宇文護",NA,NA
"A005005","ddm",513,581,68,"庾信",NA,NA
"A005926","ddm",513,573,60,"僧瑋",NA,NA
"A006512","ddm",513,532,19,"拓跋朗",NA,NA
"A004355","ddm",514,608,94,"僧曇",NA,NA
"A006035","ddm",514,605,91,"僧善",NA,NA
"A007220","ddm",514,608,94,"靈達",NA,NA
"A016714","ddm",514,583,69,"孔奐",NA,NA
"142505","cbdb",515,608,93,"高文",NA,0
"A001711","ddm",515,577,62,"慧思",NA,NA
"A004578","ddm",515,583,68,"慧勇",NA,NA
"A004855","ddm",515,589,74,"慧暅",NA,NA
"A005292","ddm",515,572,57,"慧善",NA,NA
"A005988","ddm",515,594,79,"曇崇",NA,NA
"A006041","ddm",515,606,91,"玄景",NA,NA
"139448","cbdb",516,585,69,"楊康",NA,0
"A001779","ddm",516,588,72,"曇延",NA,NA
"A004805","ddm",516,587,71,"毛喜",NA,NA
"31658","cbdb",518,573,55,"殷不佞",NA,0
"A001283","ddm",518,568,50,"智愷",NA,NA
"A004312","ddm",518,576,58,"黃法抃",NA,NA
"A005283","ddm",518,605,87,"靈裕",NA,NA
"A006848","ddm",518,615,97,"法安",NA,NA
"A006852","ddm",518,610,92,"賈逸",NA,NA
"12256","cbdb",519,562,43,"蕭詧（西梁宣帝）",NA,0
"31762","cbdb",519,568,49,"柳慶",NA,0
"A003414","ddm",519,594,75,"江總",NA,NA
"A004783","ddm",519,586,67,"靈藏",NA,NA
"A005909","ddm",519,562,43,"蕭詧",NA,NA
"A006068","ddm",519,602,83,"僧淵",NA,NA
"A006085","ddm",519,603,84,"法純",NA,NA
"A011742","ddm",519,618,99,"薛舉",NA,NA
"A017633","ddm",519,578,59,"蔡景歷",NA,NA
"A005534","ddm",520,616,96,"普圓",NA,NA
"A005916","ddm",520,599,79,"曇詢",NA,NA
"A007176","ddm",520,617,97,"法顯",NA,NA
"A005082","ddm",521,616,95,"亡名",NA,NA
"A005282","ddm",521,549,28,"高澄",NA,NA
"21300","cbdb",522,566,44,"陳蒨",NA,0
"138723","cbdb",522,609,87,"胡永",NA,0
"31766","cbdb",523,577,54,"柳帶韋",NA,0
"32425","cbdb",523,591,68,"顏之義",NA,0
"A001844","ddm",523,600,77,"闍那崛多",NA,NA
"A002000","ddm",523,592,69,"慧遠",NA,NA
"A004989","ddm",523,566,43,"陳蒨",NA,NA
"A005379","ddm",523,606,83,"慧藏",NA,NA
"A007340","ddm",523,617,94,"淨辯",NA,NA
"A011184","ddm",523,588,65,"李士謙",NA,NA
"31013","cbdb",524,551,27,"元善見",NA,0
"A002159","ddm",524,551,27,"元善見",NA,NA
"A006373","ddm",524,587,63,"法願",NA,NA
"A006851","ddm",524,605,81,"慧偘",NA,NA
"A007712","ddm",524,610,86,"慧達",NA,NA
"A005336","ddm",525,618,93,"法安",NA,NA
"A005884","ddm",525,554,29,"元欽",NA,NA
"A006967","ddm",525,603,78,"慧耀",NA,NA
"A016675","ddm",525,573,48,"沈君理",NA,NA
"A006098","ddm",526,617,91,"道舜",NA,NA
"A006928","ddm",526,600,74,"智曠",NA,NA
"A006945","ddm",526,573,47,"王琳",NA,NA
"31934","cbdb",527,584,57,"蕭引",NA,0
"134894","cbdb",527,598,71,"劉臻",NA,0
"138717","cbdb",527,600,73,"崔志",NA,0
"A005305","ddm",527,617,90,"覺朗",NA,NA
"A005468","ddm",527,627,100,"慧重",NA,NA
"A006753","ddm",527,627,100,"法通",NA,NA
"A006942","ddm",527,627,100,"無相",NA,NA
"A006947","ddm",527,627,100,"富上",NA,NA
"A007073","ddm",527,627,100,"明璨",NA,NA
"A007107","ddm",527,627,100,"僧蓋",NA,NA
"A007144","ddm",527,627,100,"道貴",NA,NA
"A013351","ddm",527,599,72,"徐孝克",NA,NA
"138709","cbdb",528,611,83,"某月相",NA,1
"A005593","ddm",528,619,91,"智琚",NA,NA
"A010280","ddm",528,600,72,"令休",NA,NA
"30935","cbdb",529,580,51,"褚玠",NA,0
"142394","cbdb",529,626,97,"范宗某",NA,0
"A001572","ddm",529,619,90,"達摩笈多",NA,NA
"A004606","ddm",529,613,84,"僧粲",NA,NA
"A004698","ddm",529,559,30,"高洋",NA,NA
"A005524","ddm",529,621,92,"智命",NA,NA
"A006114","ddm",529,611,82,"僧照",NA,NA
"A023840","ddm",529,611,82,"僧照",NA,NA
"139258","cbdb",530,613,83,"徐綜",NA,0
"A004306","ddm",530,582,52,"陳頊",NA,NA
"A004391","ddm",530,608,78,"洪遵",NA,NA
"A006831","ddm",530,621,91,"慧雲",NA,NA
"A006960","ddm",530,605,75,"法慶",NA,NA
"A007361","ddm",530,609,79,"普安",NA,NA
"21302","cbdb",531,582,51,"陳頊",NA,0
"31137","cbdb",531,595,64,"梁睿",NA,0
"A004594","ddm",531,568,37,"慧命",NA,NA
"A005316","ddm",531,591,60,"李德林",NA,NA
"A005590","ddm",531,620,89,"慧覺",NA,NA
"A005993","ddm",531,568,37,"法音",NA,NA
"A006272","ddm",531,627,96,"普明",NA,NA
"A006748","ddm",531,625,94,"曇選",NA,NA
"A006830","ddm",531,623,92,"慧寶",NA,NA
"A006832","ddm",531,623,92,"僧遠",NA,NA
"A016566","ddm",531,591,60,"顏之推",NA,NA
"A019484","ddm",531,591,60,"慕容夸呂",NA,NA
"A005452","ddm",532,604,72,"蕭摩訶",NA,NA
"A005564","ddm",532,586,54,"傅縡",NA,NA
"A005568","ddm",532,615,83,"道判",NA,NA
"A005622","ddm",532,630,98,"圓光",NA,NA
"A006381","ddm",532,599,67,"釋道成",NA,NA
"A006907","ddm",532,624,92,"僧安",NA,NA
"30970","cbdb",533,606,73,"姚察",NA,0
"142600","cbdb",533,607,74,"李貴",NA,0
"A005240","ddm",533,608,75,"道莊",NA,NA
"A006037","ddm",533,604,71,"智舜",NA,NA
"A006044","ddm",533,610,77,"智鍇",NA,NA
"A006119","ddm",533,624,91,"道林",NA,NA
"A007002","ddm",533,623,90,"慧岸",NA,NA
"A016568","ddm",533,606,73,"姚察",NA,NA
"31544","cbdb",534,605,71,"盧昌衡",NA,0
"A004348","ddm",534,560,26,"宇文毓",NA,NA
"A004461","ddm",534,623,89,"蘇威",NA,NA
"A005382","ddm",534,617,83,"僧朗",NA,NA
"A005400","ddm",534,608,74,"法澄",NA,NA
"A005443","ddm",534,613,79,"慧曠",NA,NA
"A005569","ddm",534,578,44,"靜藹",NA,NA
"A005615","ddm",534,624,90,"法祥",NA,NA
"A006069","ddm",534,602,68,"毅",NA,NA
"A004649","ddm",535,608,73,"志念",NA,NA
"A005515","ddm",535,606,71,"智矩",NA,NA
"A005576","ddm",535,612,77,"靈幹",NA,NA
"A018457","ddm",535,586,51,"盧思道",NA,NA
"30962","cbdb",536,590,54,"豆盧勣",NA,0
"142430","cbdb",536,617,81,"王恭",NA,0
"A004914","ddm",536,607,71,"慧瓚",NA,NA
"A005402","ddm",536,608,72,"法論",NA,NA
"A006516","ddm",536,561,25,"高演",NA,NA
"A007492","ddm",536,632,96,"遺俗",NA,NA
"A007518","ddm",536,632,96,"智凱",NA,NA
"A005354","ddm",537,599,62,"慧弼",NA,NA
"A005380","ddm",537,568,31,"高湛",NA,NA
"A005407","ddm",537,614,77,"靖嵩",NA,NA
"A006116","ddm",537,627,90,"洪林",NA,NA
"A006205","ddm",537,627,90,"僧順",NA,NA
"A006388","ddm",537,627,90,"智保",NA,NA
"A006514","ddm",537,557,20,"拓跋廓",NA,NA
"A007215","ddm",537,627,90,"曇遂",NA,NA
"A004299","ddm",538,570,32,"歐陽紇",NA,NA
"A005360","ddm",538,611,73,"眞觀",NA,NA
"A005434","ddm",538,609,71,"智聚",NA,NA
"A005485","ddm",538,577,39,"高湝",NA,NA
"A006950","ddm",538,622,84,"明恭",NA,NA
"30961","cbdb",539,597,58,"豆盧通",NA,0
"138786","cbdb",539,613,74,"孟保同",NA,0
"146086","cbdb",539,614,75,"崔仲方",NA,0
"A001301","ddm",539,598,59,"智顗",NA,NA
"A005338","ddm",539,597,58,"慧哲",NA,NA
"A005529","ddm",539,613,74,"智梵",NA,NA
"A005603","ddm",539,627,88,"慧因",NA,NA
"A006390","ddm",539,618,79,"智詵",NA,NA
"A007408","ddm",539,629,90,"道休",NA,NA
"A024580","ddm",539,571,32,"欽明天皇",NA,NA
"30956","cbdb",540,605,65,"楊堅",NA,0
"32968","cbdb",540,602,62,"令狐熙",NA,0
"33741","cbdb",540,573,33,"陸琰",NA,0
"33742","cbdb",540,583,43,"陸瑜",NA,0
"33744","cbdb",540,576,36,"陸玠",NA,0
"138747","cbdb",540,616,76,"張伯",NA,0
"138762","cbdb",540,614,74,"孫隆",NA,0
"145766","cbdb",540,573,33,"李君穎",NA,0
"A004458","ddm",540,609,69,"薛道衡",NA,NA
"A005431","ddm",540,614,74,"智閏",NA,NA
"A005957","ddm",540,594,54,"信行",NA,NA
"A013739","ddm",540,639,99,"智苑",NA,NA
"196335","cbdb",541,590,49,"房彥詡",NA,0
"A004324","ddm",541,604,63,"楊堅",NA,NA
"A005384","ddm",541,607,66,"智脫",NA,NA
"A005519","ddm",541,606,65,"辯義",NA,NA
"A005554","ddm",541,609,68,"慧海",NA,NA
"A006176","ddm",541,625,84,"智藏",NA,NA
"A006393","ddm",541,629,88,"慧主",NA,NA
"12257","cbdb",542,585,43,"蕭巋",NA,0
"31771","cbdb",542,557,15,"宇文覺",NA,0
"31773","cbdb",542,578,36,"宇文邕（北周武帝）",NA,0
"33738","cbdb",542,583,41,"陸琛",NA,0
"142235","cbdb",542,599,57,"徐彪",NA,0
"A005141","ddm",542,585,43,"蕭巋",NA,NA
"A006101","ddm",542,610,68,"慧歡",NA,NA
"A006520","ddm",542,557,15,"宇文覺",NA,NA
"A007394","ddm",542,633,91,"法曠",NA,NA
"A007565","ddm",542,627,85,"僧晃",NA,NA
"A011852","ddm",542,642,100,"僧衒",NA,NA
"138753","cbdb",543,607,64,"郭提",NA,0
"A002119","ddm",543,608,65,"曇遷",NA,NA
"A004350","ddm",543,578,35,"宇文邕",NA,NA
"A005303","ddm",543,613,70,"童真",NA,NA
"A005376","ddm",543,602,59,"獨孤伽羅",NA,NA
"A005535","ddm",543,622,79,"保恭",NA,NA
"A006162","ddm",543,631,88,"僧邕",NA,NA
"A006501","ddm",543,558,15,"蕭方智",NA,NA
"A004843","ddm",544,617,73,"智越",NA,NA
"A005375","ddm",544,607,63,"賀若弼",NA,NA
"A005448","ddm",544,613,69,"智琳",NA,NA
"A005462","ddm",544,611,67,"釋𩇕淵",NA,NA
"A005464","ddm",544,617,73,"法總",NA,NA
"A006094","ddm",544,607,63,"靜端",NA,NA
"A007119","ddm",544,620,76,"曇瑎",NA,NA
"A007464","ddm",544,634,90,"寶瓊",NA,NA
"A007686","ddm",544,623,79,"住力",NA,NA
"31487","cbdb",545,612,67,"于仲文",NA,0
"32044","cbdb",545,610,65,"牛弘",NA,0
"A004462","ddm",545,606,61,"楊素",NA,NA
"A006515","ddm",545,561,16,"高殷",NA,NA
"138724","cbdb",546,603,57,"郭通",NA,0
"138805","cbdb",546,610,64,"李仲賓",NA,0
"139652","cbdb",546,613,67,"慕容三藏",NA,0
"142224","cbdb",546,621,75,"張弘震",NA,0
"142231","cbdb",546,617,71,"趙路",NA,0
"A005383","ddm",546,607,61,"法彥",NA,NA
"A005933","ddm",546,638,92,"道正",NA,NA
"A006049","ddm",546,611,65,"法彥",NA,NA
"A006136","ddm",546,629,83,"法藏",NA,NA
"A007187","ddm",546,632,86,"法周",NA,NA
"A007455","ddm",546,622,76,"慧超",NA,NA
"A007522","ddm",546,636,90,"法琰",NA,NA
"33743","cbdb",547,596,49,"陸瓊",NA,0
"138785","cbdb",547,640,93,"雷氏(雷俊女)",NA,1
"142423","cbdb",547,652,105,"趙寵",NA,0
"170587","cbdb",547,627,80,"裴矩",NA,0
"A004470","ddm",547,627,80,"裴矩",NA,NA
"A004773","ddm",547,633,86,"慧暠",NA,NA
"A005526","ddm",547,606,59,"明舜",NA,NA
"A006123","ddm",547,627,80,"法應",NA,NA
"A006279","ddm",547,628,81,"道暀",NA,NA
"A007317","ddm",547,620,73,"智嶷",NA,NA
"93938","cbdb",548,627,79,"郎穎",NA,0
"138761","cbdb",548,633,85,"張妃",NA,1
"138763","cbdb",548,635,87,"慕容氏",NA,1
"142274","cbdb",548,646,98,"樂某",NA,0
"142731","cbdb",548,617,69,"呂眾",NA,0
"376355","cbdb",548,627,79,"郎楚之",NA,0
"A002380","ddm",548,646,98,"慧休",NA,NA
"A005533","ddm",548,620,72,"普曠",NA,NA
"A006104","ddm",548,611,63,"智通",NA,NA
"A006877","ddm",548,638,90,"又德",NA,NA
"31064","cbdb",549,610,61,"長孫熾",NA,0
"138730","cbdb",549,630,81,"毛祐",NA,0
"138860","cbdb",549,615,66,"趙昭",NA,0
"139632","cbdb",549,618,69,"王逸",NA,0
"145762","cbdb",549,570,21,"李難勝",NA,1
"A000329","ddm",549,623,74,"吉藏",NA,NA
"A005304","ddm",549,605,56,"通幽",NA,NA
"21301","cbdb",550,568,18,"陳伯宗",NA,0
"138721","cbdb",550,628,78,"張女羨",NA,1
"138793","cbdb",550,641,91,"梁凝達",NA,0
"138829","cbdb",550,645,95,"劉德",NA,0
"A005518","ddm",550,606,56,"慧海",NA,NA
"A005581","ddm",550,620,70,"善胄",NA,NA
"A006171","ddm",550,650,100,"普明",NA,NA
"A022054","ddm",550,630,80,"陸元朗",NA,NA
"138771","cbdb",551,609,58,"王護",NA,0
"138990","cbdb",551,625,74,"顏人",NA,0
"A004401","ddm",551,623,72,"法侃",NA,NA
"A004627","ddm",551,641,90,"曇獻",NA,NA
"A006159","ddm",551,628,77,"智滿",NA,NA
"A019156","ddm",551,582,31,"阿史那氏",NA,NA
"A006275","ddm",552,645,93,"無礙",NA,NA
"A007336","ddm",552,622,70,"道顏",NA,NA
"21303","cbdb",553,604,51,"陳叔寶",NA,0
"138823","cbdb",553,601,48,"明雅",NA,0
"138980","cbdb",553,612,59,"劉建",NA,0
"139060","cbdb",553,607,54,"王惠",NA,0
"142242","cbdb",553,632,79,"竇娘子",NA,1
"146042","cbdb",553,565,12,"裴休義",NA,0
"A004597","ddm",553,604,51,"陳叔寶",NA,NA
"A005567","ddm",553,617,64,"智果",NA,NA
"A005585","ddm",553,627,74,"寶襲",NA,NA
"A005848","ddm",553,645,92,"玄鑒",NA,NA
"A006155","ddm",553,624,71,"慧超",NA,NA
"A006343","ddm",553,630,77,"法嚮",NA,NA
"A006834","ddm",553,645,92,"洪獻",NA,NA
"A007399","ddm",553,650,97,"釋會通",NA,NA
"A007551","ddm",553,649,96,"智通",NA,NA
"138712","cbdb",554,619,65,"元買得",NA,1
"138780","cbdb",554,638,84,"張某",NA,0
"A004302","ddm",554,570,16,"陳伯宗",NA,NA
"A005561","ddm",554,606,52,"慧覺",NA,NA
"A005589","ddm",554,626,72,"慧遷",NA,NA
"A005727","ddm",554,638,84,"道宗",NA,NA
"A012168","ddm",554,582,28,"陳叔陵",NA,NA
"A014053","ddm",554,628,74,"靈琛",NA,NA
"94767","cbdb",555,639,84,"傅弈",NA,0
"138715","cbdb",555,620,65,"王仲",NA,0
"138718","cbdb",555,627,72,"劉粲",NA,0
"138725","cbdb",555,629,74,"周某",NA,0
"138754","cbdb",555,634,79,"解深",NA,0
"138905","cbdb",555,631,76,"唐某",NA,0
"138971","cbdb",555,626,71,"王則",NA,0
"139174","cbdb",555,633,78,"某某",NA,0
"A004451","ddm",555,612,57,"宇文愷",NA,NA
"A004936","ddm",555,630,75,"慧乘",NA,NA
"A004965","ddm",555,640,85,"傅奕",NA,NA
"A005579","ddm",555,617,62,"敬脫",NA,NA
"A005821","ddm",555,646,91,"智凱",NA,NA
"A006038","ddm",555,647,92,"惠方",NA,NA
"30971","cbdb",556,636,80,"姚思廉",NA,0
"138734","cbdb",556,631,75,"何氏",NA,1
"138770","cbdb",556,613,57,"徐純",NA,0
"138871","cbdb",556,605,49,"辛衡卿",NA,0
"138902","cbdb",556,627,71,"某某",NA,0
"142422","cbdb",556,608,52,"董僧利",NA,0
"A004448","ddm",556,577,21,"高緯",NA,NA
"A004650","ddm",556,632,76,"辯相",NA,NA
"A005716","ddm",556,630,74,"道愻",NA,NA
"A006125","ddm",556,622,66,"智周",NA,NA
"A006163","ddm",556,638,82,"智璪",NA,NA
"A006189","ddm",556,640,84,"曇榮",NA,NA
"A007206","ddm",556,632,76,"慧誕",NA,NA
"A007460","ddm",556,627,71,"道積",NA,NA
"A007513","ddm",556,632,76,"寶巖",NA,NA
"3685","cbdb",557,641,84,"歐陽詢",NA,0
"94165","cbdb",557,637,80,"姚簡",NA,0
"94181","cbdb",557,627,70,"賀德仁",NA,0
"138722","cbdb",557,628,71,"屈突通",NA,0
"142397","cbdb",557,628,71,"王伯瑜",NA,0
"A000829","ddm",557,610,53,"彥琮",NA,NA
"A004640","ddm",557,620,63,"靈粲",NA,NA
"A004903","ddm",557,628,71,"智晞",NA,NA
"A006169","ddm",557,641,84,"歐陽詢",NA,NA
"A006859","ddm",557,636,79,"道英",NA,NA
"A006984","ddm",557,639,82,"洪滿",NA,NA
"22793","cbdb",558,638,80,"虞世南",NA,0
"31935","cbdb",558,654,96,"蕭德言",NA,0
"138744","cbdb",558,627,69,"某謩",NA,0
"138816","cbdb",558,621,63,"姚暢",NA,0
"138893","cbdb",558,622,64,"李君絢",NA,0
"138909","cbdb",558,632,74,"趙充賢",NA,0
"142223","cbdb",558,620,62,"張仲慶",NA,0
"142232","cbdb",558,632,74,"孟公行",NA,0
"142424","cbdb",558,622,64,"孔弘",NA,0
"A000525","ddm",558,641,83,"法順",NA,NA
"A004967","ddm",558,638,80,"虞世南",NA,NA
"A006229","ddm",558,618,60,"許善心",NA,NA
"A018892","ddm",558,613,55,"王胄",NA,NA
"138842","cbdb",559,613,54,"傅叔",NA,0
"138775","cbdb",559,637,78,"張舉",NA,0
"138941","cbdb",559,631,72,"仇道",NA,0
"139092","cbdb",559,607,48,"王卿",NA,0
"A004452","ddm",559,580,21,"宇文贇",NA,NA
"A004621","ddm",559,650,91,"僧鳳",NA,NA
"A005664","ddm",559,628,69,"明贍",NA,NA
"A005677","ddm",559,650,91,"功逈",NA,NA
"A005790","ddm",559,639,80,"智正",NA,NA
"A006464","ddm",559,650,91,"慧旻",NA,NA
"30936","cbdb",560,647,87,"褚亮",NA,0
"138736","cbdb",560,631,71,"麻氏",NA,1
"138751","cbdb",560,623,63,"張明",NA,0
"138827","cbdb",560,614,54,"某綱",NA,0
"138932","cbdb",560,617,57,"劉初",NA,0
"138981","cbdb",560,652,92,"索相兒",NA,1
"138994","cbdb",560,643,83,"安延",NA,0
"139088","cbdb",560,656,96,"張盛",NA,0
"142555","cbdb",560,626,66,"柳鼓",NA,0
"A004392","ddm",560,656,96,"慧藏",NA,NA
"A004993","ddm",560,647,87,"褚亮",NA,NA
"A005846","ddm",560,638,78,"智徽",NA,NA
"A006182","ddm",560,634,74,"靈智",NA,NA
"A006441","ddm",560,645,85,"慧進",NA,NA
"A006955","ddm",560,650,90,"岑闍梨",NA,NA
"A006983","ddm",560,650,90,"慧聰",NA,NA
"A007057","ddm",560,656,96,"智隱",NA,NA
"A007061","ddm",560,656,96,"闍提斯那",NA,NA
"A007062","ddm",560,656,96,"明誕",NA,NA
"A007089","ddm",560,656,96,"寶積",NA,NA
"A007104","ddm",560,656,96,"道端",NA,NA
"A007210","ddm",560,656,96,"智教",NA,NA
"A007211","ddm",560,656,96,"圓超",NA,NA
"A007213","ddm",560,656,96,"寶憲",NA,NA
"A007214","ddm",560,656,96,"法朗",NA,NA
"A007218","ddm",560,656,96,"曇觀",NA,NA
"A007222","ddm",560,656,96,"僧昕",NA,NA
"A007226","ddm",560,602,42,"玄鏡",NA,NA
"A007227","ddm",560,656,96,"智揆",NA,NA
"A007229","ddm",560,656,96,"僧範",NA,NA
"A007234","ddm",560,656,96,"寶安",NA,NA
"A007235","ddm",560,656,96,"寶巖",NA,NA
"A007236","ddm",560,656,96,"明馭",NA,NA
"A007238","ddm",560,656,96,"道生",NA,NA
"A007241","ddm",560,656,96,"辯寂",NA,NA
"A007243","ddm",560,656,96,"靜凝",NA,NA
"A007245","ddm",560,656,96,"法揩",NA,NA
"A007309","ddm",560,656,96,"智能",NA,NA
"A007328","ddm",560,656,96,"道嵩",NA,NA
"33746","cbdb",561,617,56,"陸從典",NA,0
"95121","cbdb",561,632,71,"釋灌頂",NA,0
"138716","cbdb",561,626,65,"關道愛",NA,0
"138719","cbdb",561,627,66,"程锺",NA,0
"138746","cbdb",561,616,55,"張濬",NA,0
"138783","cbdb",561,640,79,"秦詳兒",NA,1
"138803","cbdb",561,617,56,"劉政",NA,0
"138807","cbdb",561,643,82,"某賓",NA,0
"138835","cbdb",561,646,85,"齊氏(齊某陁(齊氏父)女)",NA,1
"138986","cbdb",561,639,78,"劉普曜",NA,0
"142402","cbdb",561,638,77,"夏相兒",NA,0
"142440","cbdb",561,653,92,"龍潤",NA,0
"A004896","ddm",561,632,71,"灌頂",NA,NA
"A005718","ddm",561,627,66,"道謙",NA,NA
"A007707","ddm",561,608,47,"善權",NA,NA
"138726","cbdb",562,629,67,"譚伍",NA,0
"138745","cbdb",562,632,70,"張濬",NA,0
"138949","cbdb",562,651,89,"和姬",NA,1
"142228","cbdb",562,631,69,"丁氏",NA,1
"142400","cbdb",562,635,73,"張善哲",NA,0
"142537","cbdb",562,634,72,"杜博囗",NA,0
"A001547","ddm",562,645,83,"道綽",NA,NA
"A005812","ddm",562,640,78,"慧瑜",NA,NA
"A006047","ddm",562,613,51,"波若",NA,NA
"A006110","ddm",562,615,53,"本濟",NA,NA
"A007008","ddm",562,642,80,"僧明",NA,NA
"138728","cbdb",563,629,66,"胡質",NA,0
"138797","cbdb",563,642,79,"劉氏(王才粲妻)",NA,1
"142395","cbdb",563,626,63,"某某",NA,0
"A005306","ddm",563,637,74,"玄琬",NA,NA
"A005532","ddm",563,623,60,"道宗",NA,NA
"A007470","ddm",563,640,77,"法誠",NA,NA
"A016637","ddm",563,634,71,"智友",NA,NA
"138710","cbdb",564,625,61,"某長先",NA,0
"138727","cbdb",564,629,65,"某氏(蔣國夫人)",NA,1
"138752","cbdb",564,633,69,"某遠",NA,0
"138794","cbdb",564,641,77,"劉氏(劉岡女)",NA,1
"139011","cbdb",564,653,89,"張伯",NA,1
"139038","cbdb",564,655,91,"效姬",NA,1
"142247","cbdb",564,640,76,"賈永究",NA,0
"145962","cbdb",564,613,49,"蕭瑾",NA,0
"A004730","ddm",564,659,95,"道密",NA,NA
"A005572","ddm",564,616,52,"淨業",NA,NA
"A005704","ddm",564,634,70,"智琰",NA,NA
"A005719","ddm",564,637,73,"慧頵",NA,NA
"A005757","ddm",564,630,66,"慧頵",NA,NA
"A006183","ddm",564,635,71,"道哲",NA,NA
"A007524","ddm",564,614,50,"慧常",NA,NA
"92899","cbdb",565,648,83,"李百藥",NA,0
"93918","cbdb",565,633,68,"釋光智",NA,0
"138707","cbdb",565,619,54,"張真誌",NA,0
"138708","cbdb",565,623,58,"庫狄真相",NA,1
"138911","cbdb",565,632,67,"曹武宣",NA,0
"138912","cbdb",565,633,68,"任阿慶",NA,0
"138916","cbdb",565,636,71,"王闍桂",NA,0
"142243","cbdb",565,636,71,"徐謩",NA,0
"142251","cbdb",565,642,77,"夏白兒",NA,0
"142272","cbdb",565,646,81,"張延衡",NA,0
"A000686","ddm",565,633,68,"波羅頗迦羅蜜多羅",NA,NA
"A004942","ddm",565,648,83,"李百藥",NA,NA
"A005839","ddm",565,647,82,"靈睿",NA,NA
"A006181","ddm",565,633,68,"道昂",NA,NA
"A006200","ddm",565,640,75,"靜琳",NA,NA
"A006303","ddm",565,649,84,"僧倫",NA,NA
"A007239","ddm",565,651,86,"法性",NA,NA
"A007544","ddm",565,605,40,"法稱",NA,NA
"138820","cbdb",566,643,77,"崔某",NA,0
"138855","cbdb",566,647,81,"劉氏(徐某(劉氏夫)妻)",NA,1
"138883","cbdb",566,649,83,"楊成其",NA,1
"139032","cbdb",566,627,61,"楊貴",NA,0
"139034","cbdb",566,644,78,"韓通",NA,0
"142216","cbdb",566,626,60,"趙意",NA,0
