"name","birth","death","lifespan","occupation","country","id","dataset"
"Heinrich Spatz",1846,1906,60,"photographer","Germany","http://www.wikidata.org/entity/Q60246733","wikidata"
"Charles Albert Fuessle Sr.",1846,1931,85,"priest","Germany","http://www.wikidata.org/entity/Q81574367","wikidata"
"Linna Vogel Irelan",1846,1935,89,"writer","Germany","http://www.wikidata.org/entity/Q98931553","wikidata"
"Hayman Seleg Mendelssohn",1847,1908,61,"photographer","Germany","http://www.wikidata.org/entity/Q18068868","wikidata"
"Herman Preusse",1847,1926,79,"architect","Germany","http://www.wikidata.org/entity/Q48807486","wikidata"
"Leopold Samuel",1847,1916,69,NA,"Germany","http://www.wikidata.org/entity/Q88824367","wikidata"
"Julius Pohlman",1848,1910,62,"naturalist","Germany","http://www.wikidata.org/entity/Q105565629","wikidata"
"Adolph Marix",1848,1919,71,"military officer","Germany","http://www.wikidata.org/entity/Q4684377","wikidata"
"Robert Klein",1848,1931,83,"military personnel","Germany","http://www.wikidata.org/entity/Q7346398","wikidata"
"R. Staudenbaur",1849,1890,41,"engraver","Germany","http://www.wikidata.org/entity/Q111645230","wikidata"
"Moritz Klinkicht",1849,1932,83,"engraver","Germany","http://www.wikidata.org/entity/Q18508547","wikidata"
"George Heubel",1849,1896,47,"baseball player","Germany","http://www.wikidata.org/entity/Q5540570","wikidata"
"Reinhold Pieper",1850,1920,70,"pastor","Germany","http://www.wikidata.org/entity/Q107578186","wikidata"
"Karl Möhle",1850,1915,65,"dentist","Germany","http://www.wikidata.org/entity/Q23648483","wikidata"
"Guilherme Rau",1850,1953,103,"paleontologist","Germany","http://www.wikidata.org/entity/Q5615983","wikidata"
"Joe Miller",1850,1891,41,"baseball player","Germany","http://www.wikidata.org/entity/Q6211378","wikidata"
"Gustav Scholer",1851,1928,77,"physician","Germany","http://www.wikidata.org/entity/Q22043834","wikidata"
"David Lenz",1851,1886,35,"baseball player","Germany","http://www.wikidata.org/entity/Q5236497","wikidata"
"Henry Rodenburg",1851,1899,48,NA,"Germany","http://www.wikidata.org/entity/Q5727643","wikidata"
"Q11062882",1852,1925,73,"missionary","Germany","http://www.wikidata.org/entity/Q11062882","wikidata"
"Louise Emmons",1852,1935,83,"actor","Germany","http://www.wikidata.org/entity/Q19665220","wikidata"
"Gustav Menke Gottlieb Magnus",1852,1943,91,"photographer","Germany","http://www.wikidata.org/entity/Q60240471","wikidata"
"Rodolpho Lindemann",1852,1900,48,"photographer","Germany","http://www.wikidata.org/entity/Q64577702","wikidata"
"Evald Frank",1853,1919,66,"piano maker","Germany","http://www.wikidata.org/entity/Q107975809","wikidata"
"Bertha von Hillern",1853,1939,86,"artist","Germany","http://www.wikidata.org/entity/Q4895531","wikidata"
"Franz Anton Itrich",1853,1933,80,"military personnel","Germany","http://www.wikidata.org/entity/Q5492682","wikidata"
"Anton von Braunmühl",1853,1908,55,"mathematician","Germany","http://www.wikidata.org/entity/Q96094","wikidata"
"Adam Weissel",1854,1928,74,NA,"Germany","http://www.wikidata.org/entity/Q4679962","wikidata"
"August Ohmsen",1854,1938,84,"military personnel","Germany","http://www.wikidata.org/entity/Q4820783","wikidata"
"Aurélio Zimmermann",1854,1920,66,"illustrator","Germany","http://www.wikidata.org/entity/Q52031438","wikidata"
"Herman Carl Mueller",1854,1941,87,"ceramicist","Germany","http://www.wikidata.org/entity/Q5739613","wikidata"
"Charles Eisenmann",1855,1927,72,"photographer","Germany","http://www.wikidata.org/entity/Q5077337","wikidata"
"Henry Wilkens",1855,1895,40,"military personnel","Germany","http://www.wikidata.org/entity/Q5730164","wikidata"
"Schultheiss Franz Guntram",1856,1915,59,"historian","Germany","http://www.wikidata.org/entity/Q59627930","wikidata"
"Theodore Andresen",1856,1923,67,"architect","Germany","http://www.wikidata.org/entity/Q94579633","wikidata"
"August Knuppel",1857,1929,72,"general contractor","Germany","http://www.wikidata.org/entity/Q4820753","wikidata"
"George Albu",1857,1935,78,"businessperson","Germany","http://www.wikidata.org/entity/Q5536138","wikidata"
"Lou Graham",1857,1903,46,NA,"Germany","http://www.wikidata.org/entity/Q6685521","wikidata"
"Joe Straub",1858,1929,71,"baseball player","Germany","http://www.wikidata.org/entity/Q6212528","wikidata"
"William Richert",1858,1912,54,"politician","Germany","http://www.wikidata.org/entity/Q8017563","wikidata"
"Luís Abry",1859,1926,67,"politician","Germany","http://www.wikidata.org/entity/Q10321215","wikidata"
"Henry A. Kuhn",1859,1930,71,NA,"Germany","http://www.wikidata.org/entity/Q110548736","wikidata"
"Frederick Widmann",1859,1925,66,"architect","Germany","http://www.wikidata.org/entity/Q21177017","wikidata"
"Albert Frederick Schwannecke",1859,1912,53,"coroner","Germany","http://www.wikidata.org/entity/Q21854888","wikidata"
"Bruno Wende",1859,1929,70,"military personnel","Germany","http://www.wikidata.org/entity/Q4979433","wikidata"
"Johann Friedrich Charls",1859,1933,74,"photographer","Germany","http://www.wikidata.org/entity/Q60237956","wikidata"
"Carl Miller",1860,1930,70,"politician","Germany","http://www.wikidata.org/entity/Q1039773","wikidata"
"Fred Usinger",1860,1930,70,"manufacturer","Germany","http://www.wikidata.org/entity/Q111011717","wikidata"
"Marie de Ford Keller",1860,1962,102,"artist","Germany","http://www.wikidata.org/entity/Q112088476","wikidata"
"Julius A. R. Wilke",1860,1914,54,"military personnel","Germany","http://www.wikidata.org/entity/Q6309635","wikidata"
"Johannes Angern",1861,1938,77,"military personnel","Germany","http://www.wikidata.org/entity/Q121664","wikidata"
"Charles Swickard",1861,1929,68,"screenwriter","Germany","http://www.wikidata.org/entity/Q3666597","wikidata"
"Frank Siffell",1861,1909,48,"baseball player","Germany","http://www.wikidata.org/entity/Q5489567","wikidata"
"Heinrich F. Fuchs",1861,1897,36,"photographer","Germany","http://www.wikidata.org/entity/Q60234230","wikidata"
"Gerhard Pitz",1861,1919,58,"photographer","Germany","http://www.wikidata.org/entity/Q60241503","wikidata"
"Louis H. Giele",1861,1932,71,"architect","Germany","http://www.wikidata.org/entity/Q6687318","wikidata"
"Adeline Hayden Coffin",1862,1939,77,"actor","Germany","http://www.wikidata.org/entity/Q16066623","wikidata"
"Henry Hendrickson",1862,1912,50,"military personnel","Germany","http://www.wikidata.org/entity/Q5722843","wikidata"
"Lawrence H. Johnson",1862,1947,85,"politician","Germany","http://www.wikidata.org/entity/Q6504118","wikidata"
"Fred A. Precht",1863,1942,79,"painter","Germany","http://www.wikidata.org/entity/Q5494400","wikidata"
"William Meyer",1863,1926,63,"military personnel","Germany","http://www.wikidata.org/entity/Q8015599","wikidata"
"Josef Markwart",1864,1930,66,"historian","Germany","http://www.wikidata.org/entity/Q3810143","wikidata"
"Julius Müller-Salem",1865,1946,81,"architect","Germany","http://www.wikidata.org/entity/Q112056716","wikidata"
"George Breisacher",1865,1934,69,"politician","Germany","http://www.wikidata.org/entity/Q23582974","wikidata"
"Franz Kramer",1865,1924,59,"military personnel","Germany","http://www.wikidata.org/entity/Q5492862","wikidata"
"Paul F. Straub",1865,1937,72,"military personnel","Germany","http://www.wikidata.org/entity/Q7150568","wikidata"
"William Wendt",1865,1946,81,"painter","Germany","http://www.wikidata.org/entity/Q8020186","wikidata"
"Albert Karchow",1866,2000,134,"actor","Germany","http://www.wikidata.org/entity/Q109876569","wikidata"
"Claus Timmermann",1866,1941,75,"publisher","Germany","http://www.wikidata.org/entity/Q1098844","wikidata"
"Martin Formanack",1866,1947,81,"rower","Germany","http://www.wikidata.org/entity/Q1812327","wikidata"
"Paul Voigt",1867,1943,76,"violinist","Germany","http://www.wikidata.org/entity/Q11886947","wikidata"
"George Cecil Ives",1867,1950,83,"writer","Germany","http://www.wikidata.org/entity/Q434996","wikidata"
"Theophilus Riesinger",1868,1941,73,"Catholic priest","Germany","http://www.wikidata.org/entity/Q111721","wikidata"
"H. Kleinmann",1868,1907,39,"photographer","Germany","http://www.wikidata.org/entity/Q21645685","wikidata"
"Boguslaw Jarklowski",1868,1933,65,"painter","Germany","http://www.wikidata.org/entity/Q33329039","wikidata"
"Pretzels Getzien",1868,1932,64,"baseball player","Germany","http://www.wikidata.org/entity/Q5084912","wikidata"
"Hans Werder",1869,1942,73,"stage actor","Germany","http://www.wikidata.org/entity/Q104519332","wikidata"
"Max Ernst Friese I",1869,1923,54,NA,"Germany","http://www.wikidata.org/entity/Q111700354","wikidata"
"Sophia E. Harkamp Wise",1869,1926,57,"suffragist","Germany","http://www.wikidata.org/entity/Q66699927","wikidata"
"Adolph Friedrich Wilhelm Bechly",1870,1927,57,NA,"Germany","http://www.wikidata.org/entity/Q104931109","wikidata"
"William Charles Schulze",1870,1936,66,"physician","Germany","http://www.wikidata.org/entity/Q108936872","wikidata"
"Erich Schultz-Ewerth",1870,1935,65,"ethnologist","Germany","http://www.wikidata.org/entity/Q1353212","wikidata"
"Leo Smoschewer",1870,1938,68,"entrepreneur","Germany","http://www.wikidata.org/entity/Q15452397","wikidata"
"Gus Voerg",1870,1944,74,"rower","Germany","http://www.wikidata.org/entity/Q2637293","wikidata"
"John Dietz",1870,1939,69,"sport shooter","Germany","http://www.wikidata.org/entity/Q4162579","wikidata"
"Wilhelm Smith",1870,1925,55,"military personnel","Germany","http://www.wikidata.org/entity/Q8002306","wikidata"
"C.R. Bernetzke",1870,1938,68,"photographer","Germany","http://www.wikidata.org/entity/Q83291036","wikidata"
"Frank E. Kleinschmidt",1871,1949,78,"photographer","Germany","http://www.wikidata.org/entity/Q109102739","wikidata"
"Henry Schmitz",1871,1939,68,"physician","Germany","http://www.wikidata.org/entity/Q109563628","wikidata"
"George Paul Engelhardt",1871,1942,71,"lepidopterist","Germany","http://www.wikidata.org/entity/Q5543256","wikidata"
"Karl Thomas",1871,1900,29,"sailor","Germany","http://www.wikidata.org/entity/Q6372310","wikidata"
"Rudolf Steger",1871,1943,72,"photographer","Germany","http://www.wikidata.org/entity/Q82575335","wikidata"
"Benedict Lust",1872,1945,73,"physician","Germany","http://www.wikidata.org/entity/Q1053736","wikidata"
"Frank Williams",1872,1900,28,"soldier","Germany","http://www.wikidata.org/entity/Q5490383","wikidata"
"Emily Wynne",1872,1958,86,"writer","Germany","http://www.wikidata.org/entity/Q84192121","wikidata"
"Fred C. Haack",1873,1944,71,"businessperson","Germany","http://www.wikidata.org/entity/Q21664484","wikidata"
"Billy Gohl",1873,1927,54,"serial killer","Germany","http://www.wikidata.org/entity/Q4912616","wikidata"
"Adolf Nitsche",1873,1938,65,"photographer","Germany","http://www.wikidata.org/entity/Q60242620","wikidata"
"Franciscus Xaverius Ziegler",1873,1898,25,"photographer","Germany","http://www.wikidata.org/entity/Q60251737","wikidata"
"George J. Drews",1873,1945,72,"writer","Germany","http://www.wikidata.org/entity/Q65483162","wikidata"
"Otto Boehler",1873,1910,37,"military personnel","Germany","http://www.wikidata.org/entity/Q7109528","wikidata"
"Adèle Cederschiöld",1873,1957,84,"composer","Germany","http://www.wikidata.org/entity/Q97694967","wikidata"
"Carl Mainka",1874,1944,70,"university teacher","Germany","http://www.wikidata.org/entity/Q100933","wikidata"
"Max Thomas",1874,1929,55,"gymnast","Germany","http://www.wikidata.org/entity/Q16577301","wikidata"
"Carl Winterhoff",1874,1937,63,"actor","Germany","http://www.wikidata.org/entity/Q5040978","wikidata"
"George Remus",1874,1952,78,"lawyer","Germany","http://www.wikidata.org/entity/Q5543798","wikidata"
"Robert Streit",1875,1930,55,"librarian","Germany","http://www.wikidata.org/entity/Q39192484","wikidata"
"Robert H. Von Schlick",1875,1941,66,"military personnel","Germany","http://www.wikidata.org/entity/Q7345124","wikidata"
"Franz Xaver Schuster",1876,1962,86,"Catholic priest","Germany","http://www.wikidata.org/entity/Q15810332","wikidata"
"Philip Kassel",1876,1959,83,"athletics competitor","Germany","http://www.wikidata.org/entity/Q1803461","wikidata"
"Ernest Henkel",1876,1935,59,"human resource management","Germany","http://www.wikidata.org/entity/Q23822734","wikidata"
"Frank Xavier Leyendecker",1876,1924,48,"artist","Germany","http://www.wikidata.org/entity/Q5490522","wikidata"
"Wilhelm Kyll",1876,1956,80,"politician","Germany","http://www.wikidata.org/entity/Q8002221","wikidata"
"Henry Engelmann",1877,1950,73,NA,"Germany","http://www.wikidata.org/entity/Q111194663","wikidata"
"Louise Appia",1877,1968,91,NA,"Germany","http://www.wikidata.org/entity/Q18761641","wikidata"
"Leonard Asheim",1877,1961,84,"architect","Germany","http://www.wikidata.org/entity/Q23581194","wikidata"
"Henry Cronjager",1877,1967,90,"cinematographer","Germany","http://www.wikidata.org/entity/Q3132704","wikidata"
"John Davis",1878,1970,92,"sailor","Germany","http://www.wikidata.org/entity/Q6228786","wikidata"
"William Cramer",1878,1945,67,"pathologist","Germany","http://www.wikidata.org/entity/Q8007236","wikidata"
"Richard Lange",1879,1944,65,"sculptor","Germany","http://www.wikidata.org/entity/Q28379828","wikidata"
"Alberto Dressler",1879,1949,70,"sculptor","Germany","http://www.wikidata.org/entity/Q28927466","wikidata"
"Richard Albert Lappöhn",1879,1948,69,"photographer","Germany","http://www.wikidata.org/entity/Q60254007","wikidata"
"Hugo Reiss",1879,1931,52,"businessperson","Germany","http://www.wikidata.org/entity/Q75942581","wikidata"
"William George Thordsen",1879,1932,53,"military personnel","Germany","http://www.wikidata.org/entity/Q8009812","wikidata"
"Francis Charles Coppicus",1880,1966,86,NA,"Germany","http://www.wikidata.org/entity/Q21506456","wikidata"
"Margaret Willinger",1880,1945,65,"photographer","Germany","http://www.wikidata.org/entity/Q26710101","wikidata"
"Carl List",1880,1959,79,"banker","Germany","http://www.wikidata.org/entity/Q30132431","wikidata"
"Friedrich Wilhelm Rauchhaupt",1881,1989,108,"university teacher","Germany","http://www.wikidata.org/entity/Q15432014","wikidata"
"Ludwig Blattner",1881,1935,54,"entrepreneur","Germany","http://www.wikidata.org/entity/Q16026129","wikidata"
"Adolph F. Germer",1881,1966,85,"miner","Germany","http://www.wikidata.org/entity/Q4684338","wikidata"
"Karl Schöpp",1881,2000,119,"stage actor","Germany","http://www.wikidata.org/entity/Q47035265","wikidata"
"Emil Gerstenberger",1881,1961,80,"musician","Germany","http://www.wikidata.org/entity/Q94862489","wikidata"
"Arthur O. Schilling",1882,1958,76,"illustrator","Germany","http://www.wikidata.org/entity/Q18195296","wikidata"
"Heinrich Behnke",1882,1952,70,NA,"Germany","http://www.wikidata.org/entity/Q5699989","wikidata"
"Rudolf Dworsky",1882,1927,45,"film director","Germany","http://www.wikidata.org/entity/Q7377172","wikidata"
"Hans Leschke",1883,1973,90,NA,"Germany","http://www.wikidata.org/entity/Q105826252","wikidata"
"Hermann Rumpelt",1883,1911,28,"athlete","Germany","http://www.wikidata.org/entity/Q11709656","wikidata"
"Hermann Ohlthaver",1883,1979,96,"merchant","Germany","http://www.wikidata.org/entity/Q30140344","wikidata"
"William Howard",1883,1944,61,"screenwriter","Germany","http://www.wikidata.org/entity/Q3568712","wikidata"
"Rasmus Christensen",1883,1960,77,NA,"Germany","http://www.wikidata.org/entity/Q42172738","wikidata"
"Dolph Heinrichs",1883,1967,84,"cricketer","Germany","http://www.wikidata.org/entity/Q5289593","wikidata"
"Ernst Jordan",1883,1948,65,"association football player","Germany","http://www.wikidata.org/entity/Q877956","wikidata"
"Otto Stuhlman",1884,1965,81,"professor","Germany","http://www.wikidata.org/entity/Q109552259","wikidata"
"Hermann Stange",1884,1953,69,"conductor","Germany","http://www.wikidata.org/entity/Q12298030","wikidata"
"Otto Reiser",1884,1961,77,"association football player","Germany","http://www.wikidata.org/entity/Q1687879","wikidata"
"K. Roedek",1884,1974,90,"artistic gymnast","Germany","http://www.wikidata.org/entity/Q65508910","wikidata"
"Heinrich Karl Fricke",1884,1945,61,"businessperson","Germany","http://www.wikidata.org/entity/Q83433249","wikidata"
"Otto Wackernagel",1885,1969,84,"printmaker","Germany","http://www.wikidata.org/entity/Q110218950","wikidata"
"Hermann Harrassowitz",1885,1956,71,"geologist","Germany","http://www.wikidata.org/entity/Q11709649","wikidata"
"Oskar Guttmann",1885,1943,58,"composer","Germany","http://www.wikidata.org/entity/Q12042973","wikidata"
"Friedrich Rosengarth",1885,1977,92,"inventor","Germany","http://www.wikidata.org/entity/Q18223751","wikidata"
"Gus Wickie",1885,1947,62,"actor","Germany","http://www.wikidata.org/entity/Q5620795","wikidata"
"Johan Joachim Cohnen",1885,1947,62,"photographer","Germany","http://www.wikidata.org/entity/Q60233910","wikidata"
"Estella Katzenellenbogen",1886,1991,105,"art collector","Germany","http://www.wikidata.org/entity/Q110491536","wikidata"
"Herb Wiedoeft",1886,1928,42,"conductor","Germany","http://www.wikidata.org/entity/Q1607887","wikidata"
"Robert Scholz",1886,1927,41,"actor","Germany","http://www.wikidata.org/entity/Q96795","wikidata"
"Albert Kachellek",1887,1929,42,NA,"Germany","http://www.wikidata.org/entity/Q111110130","wikidata"
"Erwin Aichele",1887,1974,87,"painter","Germany","http://www.wikidata.org/entity/Q16007579","wikidata"
"Julius Haimann",1887,1939,52,"film producer","Germany","http://www.wikidata.org/entity/Q1712673","wikidata"
"Fred William Jelke",1887,1964,77,NA,"Germany","http://www.wikidata.org/entity/Q42383704","wikidata"
"Ad Santel",1887,1966,79,"amateur wrestler","Germany","http://www.wikidata.org/entity/Q4678180","wikidata"
"Georg Schmieter",1887,2000,113,"stage actor","Germany","http://www.wikidata.org/entity/Q47420345","wikidata"
"Georg von Majewski",1888,1945,57,"military personnel","Germany","http://www.wikidata.org/entity/Q12018194","wikidata"
"Hans Mueller",1888,1962,74,"artist","Germany","http://www.wikidata.org/entity/Q50194091","wikidata"
"Gertrud Du Brau Kogler",1889,1965,76,"artist","Germany","http://www.wikidata.org/entity/Q112088570","wikidata"
"Willy Tänzer",1889,1949,60,"association football player","Germany","http://www.wikidata.org/entity/Q1702344","wikidata"
"Friedrich von Frankenberg",1889,1950,61,NA,"Germany","http://www.wikidata.org/entity/Q5503964","wikidata"
"Xavera Rehme",1889,1982,93,"Christian nun","Germany","http://www.wikidata.org/entity/Q84803877","wikidata"
"Ludwig Fisher",1890,1957,67,"university teacher","Germany","http://www.wikidata.org/entity/Q110795692","wikidata"
"Federico Rademacher",1890,1950,60,"priest","Germany","http://www.wikidata.org/entity/Q23663022","wikidata"
"Emmy Stünckel",1890,1944,54,"photographer","Germany","http://www.wikidata.org/entity/Q60268903","wikidata"
"Gerhard Krahmer",1890,1931,41,"university teacher","Germany","http://www.wikidata.org/entity/Q86707","wikidata"
"Wilhelm Gmelin",1891,1978,87,"association football player","Germany","http://www.wikidata.org/entity/Q1737712","wikidata"
"Paul Ash",1891,1958,67,"conductor","Germany","http://www.wikidata.org/entity/Q2058746","wikidata"
"Konrad Zilch",1891,1959,68,"economist","Germany","http://www.wikidata.org/entity/Q58419285","wikidata"
"Walter Bodenthal",1892,1988,96,"painter","Germany","http://www.wikidata.org/entity/Q105168907","wikidata"
"Nathan Handwerker",1892,1974,82,"entrepreneur","Germany","http://www.wikidata.org/entity/Q1585209","wikidata"
"Joseph Kaskell",1892,1989,97,"writer","Germany","http://www.wikidata.org/entity/Q1707380","wikidata"
"John Otto Siegel",1892,1943,51,"military personnel","Germany","http://www.wikidata.org/entity/Q6251407","wikidata"
"Dorothea J. Winterloff",1892,1977,85,"housewife","Germany","http://www.wikidata.org/entity/Q83278491","wikidata"
"Elizabeth Hoevel Askew",1893,1983,90,"artist","Germany","http://www.wikidata.org/entity/Q112086727","wikidata"
"Hans Christian Schulze",1893,1941,48,NA,"Germany","http://www.wikidata.org/entity/Q5649888","wikidata"
"Juana Bormann",1893,1945,52,"female guards in Nazi concentration camps","Germany","http://www.wikidata.org/entity/Q66318","wikidata"
"Wilhelm Thöne",1893,1974,81,"flying ace","Germany","http://www.wikidata.org/entity/Q9374918","wikidata"
"Víctor Horn",1894,1948,54,"photographer","Germany","http://www.wikidata.org/entity/Q110855009","wikidata"
"Wilhelm Abeln",1894,1969,75,"politician","Germany","http://www.wikidata.org/entity/Q111967","wikidata"
"Benno Cohen",1894,1975,81,"lawyer","Germany","http://www.wikidata.org/entity/Q2900111","wikidata"
"Eric Neville Geijer",1894,1941,47,"genealogist","Germany","http://www.wikidata.org/entity/Q5387174","wikidata"
"Edgar Anton Häring",1894,1971,77,"Catholic priest","Germany","http://www.wikidata.org/entity/Q56271299","wikidata"
"Henry Roland",1894,1937,43,"stunt performer","Germany","http://www.wikidata.org/entity/Q5727670","wikidata"
"Ruth Koppel",1895,1969,74,"painter","Germany","http://www.wikidata.org/entity/Q112220199","wikidata"
"Finn Duchesne de Vauvert",1895,1965,70,"writer","Germany","http://www.wikidata.org/entity/Q11968900","wikidata"
"Friedrich Röhrer",1895,2000,105,"tennis player","Germany","http://www.wikidata.org/entity/Q19945237","wikidata"
"Heinz Warneke",1895,1983,88,"artist","Germany","http://www.wikidata.org/entity/Q5700895","wikidata"
"Carlos Dreyer",1895,1975,80,"painter","Germany","http://www.wikidata.org/entity/Q5750165","wikidata"
"Fritz Paul Zimmer",1895,1975,80,"sculptor","Germany","http://www.wikidata.org/entity/Q57980308","wikidata"
"Wilhelmus Bernardus Tonissen",1895,1965,70,"photographer","Germany","http://www.wikidata.org/entity/Q60247738","wikidata"
"Franz Heinrich Weber",1895,1968,73,"photographer","Germany","http://www.wikidata.org/entity/Q60250336","wikidata"
"Gustav Ecke",1896,1971,75,"curator","Germany","http://www.wikidata.org/entity/Q16006985","wikidata"
"Václav Simon",1896,1952,56,"association football manager","Germany","http://www.wikidata.org/entity/Q6176477","wikidata"
"Carl Riegel",1897,1970,73,"association football player","Germany","http://www.wikidata.org/entity/Q1040229","wikidata"
"Carl Schulz",1897,1966,69,NA,"Germany","http://www.wikidata.org/entity/Q110905262","wikidata"
"Miriam Neels-Hansson",1897,1971,74,"actor","Germany","http://www.wikidata.org/entity/Q11989607","wikidata"
"Willi Schulz",1897,1944,47,NA,"Germany","http://www.wikidata.org/entity/Q17093932","wikidata"
"Nick Eggenhofer",1897,1985,88,"painter","Germany","http://www.wikidata.org/entity/Q50258144","wikidata"
"Joseph Pollet",1897,1979,82,"artist","Switzerland","http://www.wikidata.org/entity/Q6286303","wikidata"
"Hans Ruch",1898,1947,49,"association football player","Germany","http://www.wikidata.org/entity/Q1582115","wikidata"
"Zofia Marchlewska",1898,1983,85,"writer","Germany","http://www.wikidata.org/entity/Q16620409","wikidata"
"Julian Gumperz",1898,1972,74,"journalist","Germany","http://www.wikidata.org/entity/Q1711999","wikidata"
"Karl Kelpe",1898,1973,75,"painter","Germany","http://www.wikidata.org/entity/Q22001558","wikidata"
"John Klenner",1899,1955,56,"composer","Germany","http://www.wikidata.org/entity/Q15093760","wikidata"
"Karl Otto Henckel",1899,1984,85,"university teacher","Germany","http://www.wikidata.org/entity/Q15433623","wikidata"
"Hildegard Grethe",1899,1961,62,"actor","Germany","http://www.wikidata.org/entity/Q18412419","wikidata"
"Werner Drewes",1899,1985,86,"painter","Germany","http://www.wikidata.org/entity/Q2561038","wikidata"
"Wilhelm Althaus",1899,2000,101,"stage actor","Germany","http://www.wikidata.org/entity/Q47422162","wikidata"
"Franz Strasser",1899,1946,47,NA,"Germany","http://www.wikidata.org/entity/Q4994302","wikidata"
"Paul Fiene",1899,1949,50,"painter","Germany","http://www.wikidata.org/entity/Q51790063","wikidata"
"Arno Ebert",1899,1955,56,"stage actor","Germany","http://www.wikidata.org/entity/Q63126956","wikidata"
"Tony Welzer",1899,1971,72,"athlete","Germany","http://www.wikidata.org/entity/Q7823659","wikidata"
"Bernhard Kellerhoff",1900,1978,78,"association football manager","Germany","http://www.wikidata.org/entity/Q104536641","wikidata"
"Adalbert von Gontard",1900,1976,76,"engineer","Germany","http://www.wikidata.org/entity/Q107561408","wikidata"
"Grete Weixler",1900,1921,21,"actor","Germany","http://www.wikidata.org/entity/Q1546024","wikidata"
"Richard Fiedler",1900,2000,100,"engineer","Germany","http://www.wikidata.org/entity/Q1756198","wikidata"
"Robert Scharfenberg",1900,2000,100,"production designer","Germany","http://www.wikidata.org/entity/Q23565691","wikidata"
"Hella Kürty",1900,1954,54,"singer","Germany","http://www.wikidata.org/entity/Q23654784","wikidata"
"Erich Wichmann-Harbeck",1900,1976,76,"sailor","Germany","http://www.wikidata.org/entity/Q28501410","wikidata"
"Shimon Kanovitch",1900,1961,61,"politician","Germany","http://www.wikidata.org/entity/Q2900956","wikidata"
"Eugen Knaus",1900,1976,76,"visual artist","Germany","http://www.wikidata.org/entity/Q44006690","wikidata"
"Paul Kollsman",1900,1982,82,"engineer","Germany","http://www.wikidata.org/entity/Q90607","wikidata"
"Hans Schönmetzler",1901,1945,44,"film producer","Germany","http://www.wikidata.org/entity/Q23956977","wikidata"
"Gerhard Heinrich Dieke",1901,1965,64,"physicist","Germany","http://www.wikidata.org/entity/Q5550679","wikidata"
"Woldemar Weyl",1901,1975,74,"scientist","Germany","http://www.wikidata.org/entity/Q55807647","wikidata"
"Klara Steinweg",1902,1972,70,"art historian","Germany","http://www.wikidata.org/entity/Q19753999","wikidata"
"Arnim Süssenguth",1902,1964,62,"actor","Germany","http://www.wikidata.org/entity/Q26918701","wikidata"
"Austin App",1902,1984,82,"writer","Germany","http://www.wikidata.org/entity/Q4822967","wikidata"
"Q12279732",1903,2009,106,NA,"Germany","http://www.wikidata.org/entity/Q12279732","wikidata"
"Otto Lucas",1903,1971,68,"fashion designer","Germany","http://www.wikidata.org/entity/Q18163294","wikidata"
"Anton Tedesko",1903,1994,91,"civil engineer","Germany","http://www.wikidata.org/entity/Q30559602","wikidata"
"Dick Dobeleit",1903,1978,75,NA,"Germany","http://www.wikidata.org/entity/Q96650404","wikidata"
"Willy Trumpp",1904,1999,95,"dentist","Germany","http://www.wikidata.org/entity/Q104602822","wikidata"
"Gerhard Kempinski",1904,1947,43,"actor","Germany","http://www.wikidata.org/entity/Q15428525","wikidata"
"Hans G. Adler",1904,1979,75,"musicologist","Germany","http://www.wikidata.org/entity/Q16008598","wikidata"
"Hertha Olivet",1904,1987,83,"graphic artist","Germany","http://www.wikidata.org/entity/Q16946374","wikidata"
"Curt Krämer",1904,1963,59,"violinist","Germany","http://www.wikidata.org/entity/Q20873846","wikidata"
"Felix Nussbaum",1904,1944,40,"painter","Germany","http://www.wikidata.org/entity/Q215572","wikidata"
"Alfred Bohrmann",1904,2000,96,"astronomer","Germany","http://www.wikidata.org/entity/Q62324","wikidata"
"Frank P. Herrnfeld",1904,1981,77,"engineer","Germany","http://www.wikidata.org/entity/Q81138351","wikidata"
"Betty Astor",1905,1972,67,"actor","Germany","http://www.wikidata.org/entity/Q102635","wikidata"
"Curt Ackermann",1905,1988,83,"actor","Germany","http://www.wikidata.org/entity/Q1144993","wikidata"
"Maria Meißner",1905,1994,89,"stage actor","Germany","http://www.wikidata.org/entity/Q1454632","wikidata"
"Elza Temáry",1905,1968,63,"film actor","Germany","http://www.wikidata.org/entity/Q17321426","wikidata"
"Ernst Scharrer",1905,1965,60,"university teacher","Germany","http://www.wikidata.org/entity/Q29889601","wikidata"
"Gerry Droller",1905,1992,87,NA,"Germany","http://www.wikidata.org/entity/Q5552722","wikidata"
"Paul Oßwald",1905,1993,88,"association football manager","Germany","http://www.wikidata.org/entity/Q874136","wikidata"
"Hubert Ebner",1906,1990,84,"sport cyclist","Germany","http://www.wikidata.org/entity/Q17279275","wikidata"
"Peter Strasser",1906,1987,81,"jeweler","Germany","http://www.wikidata.org/entity/Q25340673","wikidata"
"Heinz Schorlemmer",1906,1970,64,"stage actor","Germany","http://www.wikidata.org/entity/Q47035268","wikidata"
"Sonia Raiziss",1906,1994,88,"writer","Germany","http://www.wikidata.org/entity/Q7561750","wikidata"
"Walter Misera",1906,1993,87,NA,"Germany","http://www.wikidata.org/entity/Q7965651","wikidata"
